FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage o Less than 10,000","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)",Year,"Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill
13157,Georgia,Jackson,ARC,"Jackson County, Georgia",0.04 ,0.36 ,0.03 ,0.02 ,0.05 ,0.08 ,0.11 ,0.17 ,0.15 ,0.21 ,0.09 ,0.10 ,0.31 ,0.05 ,0.02 ,0.08 ,0.01 ,0.01 ,0.01 ,0.02 ,0.02 ,0.06 ,0.09 ,0.16 ,0.15 ,0.24 ,0.23 ,2022.00 ,Combined,4000,80,960
13187,Georgia,Lumpkin,ARC,"Lumpkin County, Georgia",0.05 ,0.43 ,0.05 ,0.06 ,0.10 ,0.10 ,0.11 ,0.13 ,0.15 ,0.15 ,0.09 ,0.06 ,0.37 ,0.03 ,0.01 ,0.08 ,0.02 ,0.01 ,0.04 ,0.03 ,0.05 ,0.09 ,0.10 ,0.14 ,0.16 ,0.17 ,0.19 ,2022.00 ,Combined,4000,80,960
13195,Georgia,Madison,ARC,"Madison County, Georgia",0.06 ,0.41 ,0.05 ,0.06 ,0.09 ,0.14 ,0.14 ,0.14 ,0.13 ,0.16 ,0.05 ,0.04 ,0.36 ,0.07 ,0.02 ,0.14 ,0.03 ,0.03 ,0.03 ,0.02 ,0.05 ,0.10 ,0.14 ,0.15 ,0.14 ,0.21 ,0.11 ,2022.00 ,Combined,4000,80,960
13213,Georgia,Murray,ARC,"Murray County, Georgia",0.07 ,0.39 ,0.04 ,0.06 ,0.08 ,0.11 ,0.13 ,0.19 ,0.16 ,0.13 ,0.04 ,0.05 ,0.33 ,0.08 ,0.02 ,0.13 ,0.02 ,0.01 ,0.04 ,0.04 ,0.04 ,0.09 ,0.12 ,0.20 ,0.17 ,0.16 ,0.11 ,2022.00 ,Combined,4000,80,960
13223,Georgia,Paulding,ARC,"Paulding County, Georgia",0.04 ,0.33 ,0.03 ,0.01 ,0.04 ,0.04 ,0.10 ,0.17 ,0.17 ,0.24 ,0.12 ,0.07 ,0.26 ,0.05 ,0.03 ,0.09 ,0.01 ,0.01 ,0.01 ,0.02 ,0.02 ,0.03 ,0.09 ,0.16 ,0.17 ,0.27 ,0.22 ,2022.00 ,Combined,4000,80,960
13227,Georgia,Pickens,ARC,"Pickens County, Georgia",0.05 ,0.42 ,0.04 ,0.03 ,0.09 ,0.09 ,0.11 ,0.16 ,0.14 ,0.21 ,0.06 ,0.06 ,0.43 ,0.04 ,0.02 ,0.09 ,0.02 ,0.01 ,0.02 ,0.02 ,0.05 ,0.07 ,0.09 ,0.16 ,0.14 ,0.24 ,0.16 ,2022.00 ,Combined,4000,80,960
13233,Georgia,Polk,ARC,"Polk County, Georgia",0.05 ,0.42 ,0.06 ,0.06 ,0.12 ,0.11 ,0.14 ,0.15 ,0.14 ,0.13 ,0.05 ,0.04 ,0.34 ,0.07 ,0.04 ,0.16 ,0.01 ,0.01 ,0.02 ,0.03 ,0.06 ,0.09 ,0.13 ,0.15 ,0.17 ,0.18 ,0.13 ,2022.00 ,Combined,4000,80,960
13241,Georgia,Rabun,ARC,"Rabun County, Georgia",0.03 ,0.52 ,0.04 ,0.09 ,0.08 ,0.12 ,0.12 ,0.16 ,0.14 ,0.13 ,0.05 ,0.07 ,0.47 ,0.05 ,0.02 ,0.12 ,0.02 ,0.01 ,0.05 ,0.03 ,0.05 ,0.10 ,0.12 ,0.16 ,0.16 ,0.16 ,0.14 ,2022.00 ,Combined,4000,80,960
13257,Georgia,Stephens,ARC,"Stephens County, Georgia",0.06 ,0.45 ,0.06 ,0.04 ,0.14 ,0.11 ,0.13 ,0.21 ,0.11 ,0.13 ,0.05 ,0.02 ,0.44 ,0.07 ,0.02 ,0.15 ,0.03 ,0.03 ,0.03 ,0.06 ,0.06 ,0.07 ,0.12 ,0.23 ,0.13 ,0.15 ,0.09 ,2022.00 ,Combined,4000,80,960
13281,Georgia,Towns,ARC,"Towns County, Georgia",0.05 ,0.56 ,0.05 ,0.07 ,0.12 ,0.10 ,0.12 ,0.20 ,0.13 ,0.12 ,0.05 ,0.05 ,0.56 ,0.04 ,0.01 ,0.09 ,0.02 ,0.02 ,0.05 ,0.06 ,0.04 ,0.08 ,0.11 ,0.20 ,0.14 ,0.14 ,0.12 ,2022.00 ,Combined,4000,80,960
13291,Georgia,Union,ARC,"Union County, Georgia",0.03 ,0.54 ,0.04 ,0.03 ,0.12 ,0.10 ,0.12 ,0.18 ,0.13 ,0.14 ,0.07 ,0.07 ,0.54 ,0.05 ,0.01 ,0.09 ,0.02 ,0.01 ,0.02 ,0.06 ,0.04 ,0.09 ,0.11 ,0.19 ,0.13 ,0.16 ,0.17 ,2022.00 ,Combined,4000,80,960
13295,Georgia,Walker,ARC,"Walker County, Georgia",0.05 ,0.41 ,0.05 ,0.06 ,0.11 ,0.10 ,0.16 ,0.20 ,0.14 ,0.12 ,0.04 ,0.04 ,0.40 ,0.06 ,0.01 ,0.11 ,0.03 ,0.01 ,0.04 ,0.04 ,0.05 ,0.08 ,0.14 ,0.21 ,0.15 ,0.14 ,0.10 ,2022.00 ,Combined,4000,80,960
13311,Georgia,White,ARC,"White County, Georgia",0.03 ,0.44 ,0.05 ,0.02 ,0.07 ,0.09 ,0.16 ,0.16 ,0.18 ,0.16 ,0.06 ,0.05 ,0.41 ,0.04 ,0.01 ,0.09 ,0.03 ,0.01 ,0.02 ,0.02 ,0.02 ,0.07 ,0.17 ,0.16 ,0.19 ,0.20 ,0.12 ,2022.00 ,Combined,4000,80,960
13313,Georgia,Whitfield,ARC,"Whitfield County, Georgia",0.06 ,0.37 ,0.04 ,0.04 ,0.10 ,0.11 ,0.13 ,0.19 ,0.15 ,0.15 ,0.05 ,0.05 ,0.31 ,0.06 ,0.02 ,0.09 ,0.03 ,0.01 ,0.02 ,0.03 ,0.03 ,0.09 ,0.11 ,0.19 ,0.17 ,0.19 ,0.14 ,2022.00 ,Combined,4000,80,960
21001,Kentucky,Adair,ARC,"Adair County, Kentucky",0.07 ,0.46 ,0.05 ,0.10 ,0.12 ,0.08 ,0.15 ,0.20 ,0.12 ,0.13 ,0.03 ,0.02 ,0.45 ,0.10 ,0.02 ,0.15 ,0.03 ,0.02 ,0.06 ,0.05 ,0.05 ,0.08 ,0.15 ,0.20 ,0.13 ,0.16 ,0.06 ,2022.00 ,Combined,4000,80,960
21011,Kentucky,Bath,ARC,"Bath County, Kentucky",0.03 ,0.49 ,0.05 ,0.10 ,0.12 ,0.08 ,0.15 ,0.18 ,0.14 ,0.11 ,0.05 ,0.02 ,0.37 ,0.10 ,0.01 ,0.20 ,0.02 ,0.02 ,0.03 ,0.04 ,0.07 ,0.09 ,0.15 ,0.18 ,0.16 ,0.15 ,0.08 ,2022.00 ,Combined,4000,80,960
21013,Kentucky,Bell,ARC,"Bell County, Kentucky",0.10 ,0.59 ,0.12 ,0.10 ,0.17 ,0.13 ,0.14 ,0.17 ,0.09 ,0.07 ,0.02 ,0.01 ,0.49 ,0.14 ,0.09 ,0.25 ,0.04 ,0.03 ,0.04 ,0.10 ,0.05 ,0.15 ,0.14 ,0.20 ,0.11 ,0.10 ,0.04 ,2022.00 ,Combined,4000,80,960
21019,Kentucky,Boyd,ARC,"Boyd County, Kentucky",0.07 ,0.48 ,0.05 ,0.08 ,0.10 ,0.09 ,0.11 ,0.18 ,0.13 ,0.15 ,0.05 ,0.05 ,0.42 ,0.09 ,0.02 ,0.16 ,0.02 ,0.01 ,0.04 ,0.04 ,0.03 ,0.09 ,0.09 ,0.19 ,0.16 ,0.20 ,0.13 ,2022.00 ,Combined,4000,80,960
21025,Kentucky,Breathitt,ARC,"Breathitt County, Kentucky",0.09 ,0.55 ,0.09 ,0.13 ,0.14 ,0.11 ,0.12 ,0.18 ,0.10 ,0.10 ,0.02 ,0.01 ,0.45 ,0.20 ,0.04 ,0.30 ,0.04 ,0.02 ,0.09 ,0.05 ,0.08 ,0.12 ,0.12 ,0.18 ,0.13 ,0.12 ,0.04 ,2022.00 ,Combined,4000,80,960
21043,Kentucky,Carter,ARC,"Carter County, Kentucky",0.06 ,0.55 ,0.11 ,0.07 ,0.12 ,0.10 ,0.13 ,0.17 ,0.10 ,0.14 ,0.04 ,0.03 ,0.44 ,0.09 ,0.02 ,0.21 ,0.04 ,0.03 ,0.06 ,0.05 ,0.07 ,0.09 ,0.11 ,0.18 ,0.12 ,0.17 ,0.08 ,2022.00 ,Combined,4000,80,960
21045,Kentucky,Casey,ARC,"Casey County, Kentucky",0.10 ,0.52 ,0.09 ,0.09 ,0.13 ,0.11 ,0.19 ,0.14 ,0.11 ,0.10 ,0.02 ,0.03 ,0.43 ,0.11 ,0.01 ,0.19 ,0.06 ,0.02 ,0.05 ,0.04 ,0.05 ,0.10 ,0.21 ,0.15 ,0.13 ,0.13 ,0.06 ,2022.00 ,Combined,4000,80,960
21049,Kentucky,Clark,ARC,"Clark County, Kentucky",0.05 ,0.40 ,0.05 ,0.06 ,0.09 ,0.08 ,0.14 ,0.19 ,0.12 ,0.18 ,0.06 ,0.05 ,0.38 ,0.07 ,0.02 ,0.13 ,0.01 ,0.01 ,0.03 ,0.04 ,0.03 ,0.08 ,0.13 ,0.19 ,0.12 ,0.22 ,0.14 ,2022.00 ,Combined,4000,80,960
21051,Kentucky,Clay,ARC,"Clay County, Kentucky",0.10 ,0.58 ,0.10 ,0.12 ,0.13 ,0.13 ,0.14 ,0.14 ,0.12 ,0.09 ,0.02 ,0.01 ,0.44 ,0.20 ,0.02 ,0.33 ,0.06 ,0.04 ,0.09 ,0.06 ,0.06 ,0.12 ,0.13 ,0.15 ,0.15 ,0.11 ,0.03 ,2022.00 ,Combined,4000,80,960
21053,Kentucky,Clinton,ARC,"Clinton County, Kentucky",0.06 ,0.48 ,0.08 ,0.10 ,0.10 ,0.14 ,0.21 ,0.13 ,0.12 ,0.10 ,0.02 ,0.02 ,0.43 ,0.14 ,0.03 ,0.23 ,0.02 ,0.02 ,0.09 ,0.03 ,0.04 ,0.14 ,0.22 ,0.16 ,0.12 ,0.11 ,0.05 ,2022.00 ,Combined,4000,80,960
21057,Kentucky,Cumberland,ARC,"Cumberland County, Kentucky",0.04 ,0.49 ,0.13 ,0.12 ,0.08 ,0.08 ,0.20 ,0.17 ,0.06 ,0.14 ,0.02 ,0.01 ,0.38 ,0.11 ,0.01 ,0.22 ,0.07 ,0.06 ,0.08 ,0.01 ,0.02 ,0.09 ,0.20 ,0.20 ,0.07 ,0.18 ,0.03 ,2022.00 ,Combined,4000,80,960
21061,Kentucky,Edmonson,ARC,"Edmonson County, Kentucky",0.07 ,0.50 ,0.05 ,0.07 ,0.09 ,0.13 ,0.14 ,0.17 ,0.15 ,0.15 ,0.03 ,0.01 ,0.43 ,0.06 ,0.01 ,0.12 ,0.01 ,0.03 ,0.07 ,0.07 ,0.02 ,0.11 ,0.11 ,0.19 ,0.17 ,0.17 ,0.05 ,2022.00 ,Combined,4000,80,960
21063,Kentucky,Elliott,ARC,"Elliott County, Kentucky",0.06 ,0.67 ,0.09 ,0.11 ,0.13 ,0.12 ,0.15 ,0.16 ,0.10 ,0.13 ,0.01 ,0.00 ,0.48 ,0.12 ,0.02 ,0.25 ,0.03 ,0.01 ,0.06 ,0.09 ,0.06 ,0.15 ,0.17 ,0.20 ,0.06 ,0.15 ,0.02 ,2022.00 ,Combined,4000,80,960
21065,Kentucky,Estill,ARC,"Estill County, Kentucky",0.09 ,0.54 ,0.10 ,0.11 ,0.10 ,0.15 ,0.10 ,0.18 ,0.12 ,0.08 ,0.03 ,0.02 ,0.40 ,0.14 ,0.05 ,0.30 ,0.07 ,0.01 ,0.08 ,0.04 ,0.02 ,0.16 ,0.12 ,0.19 ,0.16 ,0.09 ,0.06 ,2022.00 ,Combined,4000,80,960
21069,Kentucky,Fleming,ARC,"Fleming County, Kentucky",0.08 ,0.45 ,0.07 ,0.06 ,0.13 ,0.11 ,0.14 ,0.17 ,0.15 ,0.11 ,0.03 ,0.03 ,0.39 ,0.10 ,0.02 ,0.20 ,0.01 ,0.04 ,0.05 ,0.08 ,0.03 ,0.10 ,0.14 ,0.17 ,0.19 ,0.13 ,0.07 ,2022.00 ,Combined,4000,80,960
21071,Kentucky,Floyd,ARC,"Floyd County, Kentucky",0.07 ,0.58 ,0.11 ,0.10 ,0.14 ,0.12 ,0.10 ,0.15 ,0.12 ,0.11 ,0.03 ,0.01 ,0.49 ,0.14 ,0.02 ,0.25 ,0.04 ,0.04 ,0.07 ,0.06 ,0.07 ,0.13 ,0.11 ,0.16 ,0.13 ,0.14 ,0.06 ,2022.00 ,Combined,4000,80,960
21079,Kentucky,Garrard,ARC,"Garrard County, Kentucky",0.05 ,0.45 ,0.04 ,0.04 ,0.11 ,0.09 ,0.16 ,0.17 ,0.10 ,0.17 ,0.07 ,0.04 ,0.38 ,0.07 ,0.01 ,0.13 ,0.02 ,0.01 ,0.04 ,0.04 ,0.05 ,0.08 ,0.14 ,0.17 ,0.11 ,0.20 ,0.14 ,2022.00 ,Combined,4000,80,960
21087,Kentucky,Green,ARC,"Green County, Kentucky",0.09 ,0.50 ,0.07 ,0.08 ,0.16 ,0.15 ,0.12 ,0.14 ,0.13 ,0.10 ,0.03 ,0.02 ,0.46 ,0.14 ,0.03 ,0.19 ,0.04 ,0.03 ,0.06 ,0.08 ,0.06 ,0.14 ,0.12 ,0.16 ,0.15 ,0.12 ,0.06 ,2022.00 ,Combined,4000,80,960
21089,Kentucky,Greenup,ARC,"Greenup County, Kentucky",0.06 ,0.50 ,0.07 ,0.06 ,0.09 ,0.10 ,0.12 ,0.21 ,0.11 ,0.13 ,0.07 ,0.05 ,0.43 ,0.07 ,0.02 ,0.12 ,0.03 ,0.01 ,0.03 ,0.04 ,0.05 ,0.09 ,0.11 ,0.22 ,0.12 ,0.15 ,0.16 ,2022.00 ,Combined,4000,80,960
21095,Kentucky,Harlan,ARC,"Harlan County, Kentucky",0.11 ,0.60 ,0.10 ,0.10 ,0.17 ,0.13 ,0.13 ,0.17 ,0.09 ,0.07 ,0.02 ,0.02 ,0.49 ,0.13 ,0.08 ,0.28 ,0.04 ,0.03 ,0.07 ,0.07 ,0.08 ,0.11 ,0.16 ,0.20 ,0.12 ,0.08 ,0.06 ,2022.00 ,Combined,4000,80,960
21099,Kentucky,Hart,ARC,"Hart County, Kentucky",0.04 ,0.46 ,0.08 ,0.09 ,0.14 ,0.10 ,0.13 ,0.15 ,0.16 ,0.09 ,0.03 ,0.03 ,0.38 ,0.09 ,0.02 ,0.18 ,0.05 ,0.03 ,0.06 ,0.04 ,0.09 ,0.11 ,0.13 ,0.15 ,0.15 ,0.11 ,0.08 ,2022.00 ,Combined,4000,80,960
21109,Kentucky,Jackson,ARC,"Jackson County, Kentucky",0.06 ,0.56 ,0.06 ,0.13 ,0.14 ,0.11 ,0.12 ,0.24 ,0.08 ,0.08 ,0.03 ,0.01 ,0.45 ,0.15 ,0.02 ,0.25 ,0.03 ,0.02 ,0.10 ,0.03 ,0.11 ,0.11 ,0.11 ,0.25 ,0.08 ,0.10 ,0.05 ,2022.00 ,Combined,4000,80,960
21115,Kentucky,Johnson,ARC,"Johnson County, Kentucky",0.05 ,0.55 ,0.10 ,0.08 ,0.14 ,0.09 ,0.14 ,0.15 ,0.11 ,0.14 ,0.04 ,0.02 ,0.44 ,0.12 ,0.02 ,0.23 ,0.05 ,0.02 ,0.05 ,0.05 ,0.06 ,0.08 ,0.15 ,0.18 ,0.11 ,0.17 ,0.08 ,2022.00 ,Combined,4000,80,960
21119,Kentucky,Knott,ARC,"Knott County, Kentucky",0.11 ,0.60 ,0.10 ,0.10 ,0.13 ,0.15 ,0.14 ,0.15 ,0.10 ,0.08 ,0.03 ,0.01 ,0.48 ,0.16 ,0.03 ,0.29 ,0.04 ,0.03 ,0.05 ,0.07 ,0.06 ,0.16 ,0.14 ,0.15 ,0.13 ,0.11 ,0.06 ,2022.00 ,Combined,4000,80,960
21121,Kentucky,Knox,ARC,"Knox County, Kentucky",0.09 ,0.57 ,0.13 ,0.13 ,0.18 ,0.08 ,0.12 ,0.14 ,0.09 ,0.09 ,0.02 ,0.03 ,0.41 ,0.21 ,0.03 ,0.30 ,0.04 ,0.05 ,0.09 ,0.08 ,0.08 ,0.09 ,0.14 ,0.16 ,0.10 ,0.10 ,0.08 ,2022.00 ,Combined,4000,80,960
21125,Kentucky,Laurel,ARC,"Laurel County, Kentucky",0.04 ,0.46 ,0.09 ,0.06 ,0.09 ,0.09 ,0.14 ,0.17 ,0.15 ,0.14 ,0.05 ,0.03 ,0.39 ,0.08 ,0.02 ,0.17 ,0.03 ,0.01 ,0.05 ,0.04 ,0.04 ,0.08 ,0.15 ,0.18 ,0.16 ,0.17 ,0.09 ,2022.00 ,Combined,4000,80,960
21127,Kentucky,Lawrence,ARC,"Lawrence County, Kentucky",0.05 ,0.62 ,0.10 ,0.06 ,0.14 ,0.14 ,0.12 ,0.18 ,0.10 ,0.10 ,0.05 ,0.02 ,0.48 ,0.14 ,0.03 ,0.25 ,0.04 ,0.02 ,0.04 ,0.04 ,0.07 ,0.13 ,0.14 ,0.19 ,0.13 ,0.11 ,0.08 ,2022.00 ,Combined,4000,80,960
21129,Kentucky,Lee,ARC,"Lee County, Kentucky",0.08 ,0.58 ,0.10 ,0.15 ,0.15 ,0.16 ,0.16 ,0.13 ,0.07 ,0.06 ,0.01 ,0.01 ,0.46 ,0.16 ,0.02 ,0.31 ,0.03 ,0.02 ,0.13 ,0.05 ,0.07 ,0.20 ,0.16 ,0.14 ,0.08 ,0.09 ,0.03 ,2022.00 ,Combined,4000,80,960
21131,Kentucky,Leslie,ARC,"Leslie County, Kentucky",0.10 ,0.56 ,0.08 ,0.12 ,0.12 ,0.16 ,0.12 ,0.19 ,0.06 ,0.13 ,0.00 ,0.00 ,0.53 ,0.10 ,0.04 ,0.26 ,0.01 ,0.05 ,0.10 ,0.03 ,0.09 ,0.18 ,0.14 ,0.19 ,0.07 ,0.14 ,0.01 ,2022.00 ,Combined,4000,80,960
21133,Kentucky,Letcher,ARC,"Letcher County, Kentucky",0.08 ,0.56 ,0.09 ,0.12 ,0.14 ,0.12 ,0.13 ,0.17 ,0.11 ,0.09 ,0.02 ,0.02 ,0.48 ,0.14 ,0.02 ,0.29 ,0.03 ,0.04 ,0.08 ,0.06 ,0.05 ,0.12 ,0.11 ,0.20 ,0.14 ,0.11 ,0.05 ,2022.00 ,Combined,4000,80,960
21135,Kentucky,Lewis,ARC,"Lewis County, Kentucky",0.07 ,0.57 ,0.09 ,0.08 ,0.17 ,0.14 ,0.12 ,0.17 ,0.10 ,0.08 ,0.02 ,0.01 ,0.46 ,0.11 ,0.02 ,0.23 ,0.03 ,0.03 ,0.07 ,0.10 ,0.05 ,0.14 ,0.12 ,0.20 ,0.12 ,0.10 ,0.05 ,2022.00 ,Combined,4000,80,960
21137,Kentucky,Lincoln,ARC,"Lincoln County, Kentucky",0.07 ,0.45 ,0.06 ,0.09 ,0.11 ,0.11 ,0.15 ,0.20 ,0.10 ,0.12 ,0.04 ,0.02 ,0.40 ,0.11 ,0.01 ,0.16 ,0.02 ,0.03 ,0.06 ,0.06 ,0.03 ,0.10 ,0.15 ,0.20 ,0.12 ,0.15 ,0.08 ,2022.00 ,Combined,4000,80,960
21147,Kentucky,McCreary,ARC,"McCreary County, Kentucky",0.06 ,0.62 ,0.12 ,0.15 ,0.10 ,0.12 ,0.12 ,0.18 ,0.09 ,0.07 ,0.03 ,0.00 ,0.43 ,0.19 ,0.02 ,0.32 ,0.06 ,0.03 ,0.10 ,0.07 ,0.05 ,0.09 ,0.13 ,0.19 ,0.12 ,0.10 ,0.05 ,2022.00 ,Combined,4000,80,960
21151,Kentucky,Madison,ARC,"Madison County, Kentucky",0.05 ,0.37 ,0.06 ,0.05 ,0.09 ,0.09 ,0.13 ,0.17 ,0.13 ,0.17 ,0.07 ,0.05 ,0.32 ,0.06 ,0.02 ,0.12 ,0.01 ,0.01 ,0.02 ,0.02 ,0.03 ,0.06 ,0.10 ,0.17 ,0.15 ,0.24 ,0.18 ,2022.00 ,Combined,4000,80,960
21153,Kentucky,Magoffin,ARC,"Magoffin County, Kentucky",0.13 ,0.63 ,0.12 ,0.12 ,0.16 ,0.15 ,0.12 ,0.14 ,0.09 ,0.06 ,0.02 ,0.02 ,0.50 ,0.18 ,0.01 ,0.33 ,0.03 ,0.06 ,0.09 ,0.07 ,0.10 ,0.17 ,0.11 ,0.16 ,0.09 ,0.06 ,0.06 ,2022.00 ,Combined,4000,80,960
21159,Kentucky,Martin,ARC,"Martin County, Kentucky",0.06 ,0.65 ,0.12 ,0.12 ,0.07 ,0.12 ,0.11 ,0.19 ,0.05 ,0.15 ,0.02 ,0.03 ,0.48 ,0.17 ,0.03 ,0.23 ,0.06 ,0.02 ,0.08 ,0.04 ,0.03 ,0.14 ,0.11 ,0.21 ,0.06 ,0.17 ,0.07 ,2022.00 ,Combined,4000,80,960
21165,Kentucky,Menifee,ARC,"Menifee County, Kentucky",0.05 ,0.57 ,0.11 ,0.10 ,0.11 ,0.09 ,0.13 ,0.13 ,0.15 ,0.14 ,0.04 ,0.00 ,0.45 ,0.13 ,0.02 ,0.20 ,0.02 ,0.06 ,0.10 ,0.05 ,0.05 ,0.09 ,0.15 ,0.15 ,0.15 ,0.14 ,0.04 ,2022.00 ,Combined,4000,80,960
21169,Kentucky,Metcalfe,ARC,"Metcalfe County, Kentucky",0.05 ,0.44 ,0.05 ,0.11 ,0.11 ,0.14 ,0.13 ,0.20 ,0.10 ,0.12 ,0.04 ,0.01 ,0.41 ,0.10 ,0.03 ,0.16 ,0.03 ,0.02 ,0.06 ,0.05 ,0.06 ,0.15 ,0.14 ,0.17 ,0.12 ,0.15 ,0.06 ,2022.00 ,Combined,4000,80,960
21171,Kentucky,Monroe,ARC,"Monroe County, Kentucky",0.05 ,0.42 ,0.08 ,0.10 ,0.10 ,0.12 ,0.12 ,0.17 ,0.11 ,0.13 ,0.05 ,0.02 ,0.46 ,0.08 ,0.02 ,0.18 ,0.03 ,0.04 ,0.07 ,0.04 ,0.04 ,0.12 ,0.11 ,0.15 ,0.13 ,0.17 ,0.10 ,2022.00 ,Combined,4000,80,960
21173,Kentucky,Montgomery,ARC,"Montgomery County, Kentucky",0.06 ,0.45 ,0.07 ,0.06 ,0.11 ,0.08 ,0.15 ,0.18 ,0.14 ,0.16 ,0.03 ,0.02 ,0.35 ,0.08 ,0.01 ,0.19 ,0.02 ,0.02 ,0.04 ,0.04 ,0.04 ,0.07 ,0.15 ,0.19 ,0.16 ,0.21 ,0.07 ,2022.00 ,Combined,4000,80,960
21175,Kentucky,Morgan,ARC,"Morgan County, Kentucky",0.03 ,0.61 ,0.08 ,0.09 ,0.13 ,0.09 ,0.15 ,0.17 ,0.11 ,0.09 ,0.06 ,0.03 ,0.45 ,0.11 ,0.02 ,0.20 ,0.02 ,0.03 ,0.06 ,0.06 ,0.06 ,0.10 ,0.15 ,0.18 ,0.11 ,0.11 ,0.11 ,2022.00 ,Combined,4000,80,960
21181,Kentucky,Nicholas,ARC,"Nicholas County, Kentucky",0.06 ,0.48 ,0.07 ,0.05 ,0.09 ,0.15 ,0.10 ,0.17 ,0.18 ,0.12 ,0.05 ,0.02 ,0.40 ,0.10 ,0.03 ,0.12 ,0.03 ,0.03 ,0.01 ,0.04 ,0.03 ,0.15 ,0.13 ,0.14 ,0.18 ,0.16 ,0.10 ,2022.00 ,Combined,4000,80,960
21189,Kentucky,Owsley,ARC,"Owsley County, Kentucky",0.14 ,0.63 ,0.11 ,0.14 ,0.14 ,0.14 ,0.12 ,0.10 ,0.16 ,0.07 ,0.03 ,0.00 ,0.53 ,0.26 ,0.02 ,0.30 ,0.04 ,0.04 ,0.08 ,0.07 ,0.02 ,0.12 ,0.12 ,0.13 ,0.23 ,0.10 ,0.05 ,2022.00 ,Combined,4000,80,960
21193,Kentucky,Perry,ARC,"Perry County, Kentucky",0.08 ,0.51 ,0.08 ,0.10 ,0.10 ,0.16 ,0.10 ,0.16 ,0.13 ,0.11 ,0.04 ,0.03 ,0.40 ,0.15 ,0.01 ,0.25 ,0.02 ,0.02 ,0.08 ,0.05 ,0.05 ,0.15 ,0.09 ,0.18 ,0.15 ,0.13 ,0.08 ,2022.00 ,Combined,4000,80,960
21195,Kentucky,Pike,ARC,"Pike County, Kentucky",0.07 ,0.57 ,0.11 ,0.09 ,0.15 ,0.10 ,0.13 ,0.16 ,0.11 ,0.10 ,0.03 ,0.02 ,0.48 ,0.12 ,0.02 ,0.20 ,0.03 ,0.03 ,0.07 ,0.06 ,0.07 ,0.11 ,0.15 ,0.16 ,0.12 ,0.12 ,0.06 ,2022.00 ,Combined,4000,80,960
21197,Kentucky,Powell,ARC,"Powell County, Kentucky",0.07 ,0.49 ,0.09 ,0.13 ,0.14 ,0.12 ,0.08 ,0.08 ,0.17 ,0.15 ,0.02 ,0.01 ,0.40 ,0.12 ,0.01 ,0.20 ,0.03 ,0.04 ,0.04 ,0.06 ,0.05 ,0.13 ,0.08 ,0.10 ,0.21 ,0.21 ,0.05 ,2022.00 ,Combined,4000,80,960
21199,Kentucky,Pulaski,ARC,"Pulaski County, Kentucky",0.05 ,0.45 ,0.08 ,0.09 ,0.10 ,0.12 ,0.12 ,0.15 ,0.13 ,0.12 ,0.05 ,0.04 ,0.41 ,0.09 ,0.02 ,0.15 ,0.05 ,0.01 ,0.05 ,0.04 ,0.04 ,0.12 ,0.12 ,0.16 ,0.15 ,0.14 ,0.12 ,2022.00 ,Combined,4000,80,960
21201,Kentucky,Robertson,ARC,"Robertson County, Kentucky",0.07 ,0.48 ,0.15 ,0.04 ,0.05 ,0.08 ,0.16 ,0.15 ,0.17 ,0.15 ,0.03 ,0.01 ,0.40 ,0.07 ,0.01 ,0.25 ,0.01 ,0.04 ,0.04 ,0.03 ,0.03 ,0.10 ,0.20 ,0.13 ,0.20 ,0.15 ,0.06 ,2022.00 ,Combined,4000,80,960
21203,Kentucky,Rockcastle,ARC,"Rockcastle County, Kentucky",0.07 ,0.51 ,0.09 ,0.08 ,0.14 ,0.09 ,0.13 ,0.20 ,0.12 ,0.09 ,0.02 ,0.03 ,0.41 ,0.13 ,0.04 ,0.21 ,0.04 ,0.02 ,0.06 ,0.06 ,0.09 ,0.09 ,0.15 ,0.22 ,0.09 ,0.10 ,0.07 ,2022.00 ,Combined,4000,80,960
