FIPS,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:,"Estimate!!Total:!!Owner occupied:!!Less than $5,000","Percentage of Less than $5,000","Estimate!!Total:!!Owner occupied:!!$5,000 to $9,999","Percentage of $5,000 to $9,999","Estimate!!Total:!!Owner occupied:!!$10,000 to $14,999","Percentage of $10,000 to $14,999","Estimate!!Total:!!Owner occupied:!!$15,000 to $19,999","Percentage of $15,000 to $19,999","Estimate!!Total:!!Owner occupied:!!$20,000 to $24,999","Percentage of $20,000 to $24,999","Estimate!!Total:!!Owner occupied:!!$25,000 to $34,999","Percentage of $25,000 to $34,999","Estimate!!Total:!!Owner occupied:!!$35,000 to $49,999","Percentage of $35,000 to $49,999","Estimate!!Total:!!Owner occupied:!!$50,000 to $74,999","Percentage of $50,000 to $74,999","Estimate!!Total:!!Owner occupied:!!$75,000 to $99,999","Percentage of $75,000 to $99,999","Estimate!!Total:!!Owner occupied:!!$100,000 to $149,999","Percentage of $100,000 to $149,999","Estimate!!Total:!!Owner occupied:!!$150,000 or more","Percentage of $150,000 or more"
20045,"Douglas County, Kansas",49605,25004,338,1.35 ,166,0.66 ,212,0.85 ,347,1.39,351,1.4,1054,4.22,1676,6.7,3912,15.65,3463,13.85,5760,23.04,7725,30.9
20047,"Edwards County, Kansas",1225,963,29,3.01 ,21,2.18 ,27,2.80 ,25,2.6,47,4.88,70,7.27,193,20.04,183,19,140,14.54,165,17.13,63,6.54
20049,"Elk County, Kansas",1028,799,26,3.25 ,11,1.38 ,53,6.63 ,19,2.38,45,5.63,82,10.26,118,14.77,171,21.4,107,13.39,127,15.89,40,5.01
20051,"Ellis County, Kansas",11958,7335,110,1.50 ,101,1.38 ,147,2.00 ,202,2.75,231,3.15,273,3.72,931,12.69,1106,15.08,1162,15.84,1844,25.14,1228,16.74
20053,"Ellsworth County, Kansas",2305,1877,34,1.81 ,10,0.53 ,36,1.92 ,67,3.57,92,4.9,148,7.88,184,9.8,493,26.27,271,14.44,354,18.86,188,10.02
20055,"Finney County, Kansas",13021,8474,150,1.77 ,227,2.68 ,149,1.76 ,112,1.32,181,2.14,475,5.61,1147,13.54,1806,21.31,1131,13.35,1916,22.61,1180,13.92
20057,"Ford County, Kansas",11676,7511,117,1.56 ,126,1.68 ,21,0.28 ,209,2.78,269,3.58,742,9.88,987,13.14,1224,16.3,1203,16.02,1499,19.96,1114,14.83
20059,"Franklin County, Kansas",10185,7479,157,2.10 ,33,0.44 ,142,1.90 ,209,2.79,177,2.37,482,6.44,798,10.67,1243,16.62,1168,15.62,1936,25.89,1134,15.16
20061,"Geary County, Kansas",13512,5813,78,1.34 ,54,0.93 ,147,2.53 ,300,5.16,136,2.34,438,7.53,521,8.96,1110,19.1,1102,18.96,1151,19.8,776,13.35
20063,"Gove County, Kansas",1182,924,28,3.03 ,11,1.19 ,16,1.73 ,25,2.71,39,4.22,87,9.42,98,10.61,179,19.37,161,17.42,176,19.05,104,11.26
20065,"Graham County, Kansas",1200,977,0,0.00 ,26,2.66 ,6,0.61 ,19,1.94,53,5.42,147,15.05,213,21.8,232,23.75,105,10.75,125,12.79,51,5.22
20067,"Grant County, Kansas",2420,1846,12,0.65 ,37,2.00 ,0,0.00 ,16,0.87,18,0.98,92,4.98,64,3.47,430,23.29,255,13.81,459,24.86,463,25.08
20069,"Gray County, Kansas",2054,1651,9,0.55 ,5,0.30 ,14,0.85 ,32,1.94,64,3.88,143,8.66,202,12.24,274,16.6,245,14.84,433,26.23,230,13.93
20071,"Greeley County, Kansas",553,412,1,0.24 ,3,0.73 ,19,4.61 ,3,0.73,1,0.24,37,8.98,36,8.74,100,24.27,81,19.66,63,15.29,68,16.5
20073,"Greenwood County, Kansas",2584,2056,48,2.33 ,30,1.46 ,98,4.77 ,97,4.72,101,4.91,233,11.33,253,12.31,418,20.33,265,12.89,302,14.69,211,10.26
20075,"Hamilton County, Kansas",716,555,13,2.34 ,0,0.00 ,15,2.70 ,3,0.54,21,3.78,73,13.15,97,17.48,103,18.56,44,7.93,121,21.8,65,11.71
20077,"Harper County, Kansas",2186,1609,64,3.98 ,18,1.12 ,50,3.11 ,54,3.36,47,2.92,209,12.99,198,12.31,411,25.54,192,11.93,260,16.16,106,6.59
20079,"Harvey County, Kansas",13246,9464,97,1.02 ,61,0.64 ,91,0.96 ,199,2.1,178,1.88,578,6.11,1038,10.97,1988,21.01,1600,16.91,2186,23.1,1448,15.3
20081,"Haskell County, Kansas",1354,1031,27,2.62 ,19,1.84 ,7,0.68 ,17,1.65,13,1.26,58,5.63,114,11.06,244,23.67,123,11.93,248,24.05,161,15.62
20083,"Hodgeman County, Kansas",710,577,19,3.29 ,0,0.00 ,10,1.73 ,14,2.43,10,1.73,35,6.07,85,14.73,160,27.73,60,10.4,110,19.06,74,12.82
20085,"Jackson County, Kansas",5182,4001,28,0.70 ,16,0.40 ,49,1.22 ,49,1.22,49,1.22,336,8.4,542,13.55,912,22.79,743,18.57,749,18.72,528,13.2
20087,"Jefferson County, Kansas",7316,6215,53,0.85 ,119,1.91 ,76,1.22 ,118,1.9,207,3.33,409,6.58,525,8.45,1298,20.88,863,13.89,1591,25.6,956,15.38
20089,"Jewell County, Kansas",1278,1025,28,2.73 ,3,0.29 ,57,5.56 ,58,5.66,47,4.59,91,8.88,173,16.88,171,16.68,203,19.8,105,10.24,89,8.68
20091,"Johnson County, Kansas",241191,166087,1723,1.04 ,739,0.44 ,1399,0.84 ,1335,0.8,1801,1.08,5136,3.09,7872,4.74,18548,11.17,20460,12.32,39364,23.7,67710,40.77
20093,"Kearny County, Kansas",1352,926,15,1.62 ,1,0.11 ,3,0.32 ,36,3.89,20,2.16,80,8.64,134,14.47,140,15.12,121,13.07,270,29.16,106,11.45
20095,"Kingman County, Kansas",3104,2231,5,0.22 ,28,1.26 ,46,2.06 ,76,3.41,98,4.39,182,8.16,299,13.4,431,19.32,282,12.64,574,25.73,210,9.41
20097,"Kiowa County, Kansas",927,699,1,0.14 ,9,1.29 ,14,2.00 ,12,1.72,13,1.86,32,4.58,84,12.02,191,27.32,150,21.46,114,16.31,79,11.3
20099,"Labette County, Kansas",7956,5994,177,2.95 ,41,0.68 ,185,3.09 ,253,4.22,325,5.42,560,9.34,757,12.63,1187,19.8,875,14.6,1124,18.75,510,8.51
20101,"Lane County, Kansas",672,522,14,2.68 ,20,3.83 ,12,2.30 ,42,8.05,37,7.09,53,10.15,61,11.69,46,8.81,61,11.69,127,24.33,49,9.39
20103,"Leavenworth County, Kansas",29226,19837,371,1.87 ,200,1.01 ,173,0.87 ,409,2.06,284,1.43,900,4.54,1278,6.44,3075,15.5,3035,15.3,4773,24.06,5339,26.91
20105,"Lincoln County, Kansas",1223,970,11,1.13 ,4,0.41 ,38,3.92 ,56,5.77,36,3.71,57,5.88,186,19.18,220,22.68,78,8.04,175,18.04,109,11.24
20107,"Linn County, Kansas",4093,3338,89,2.67 ,65,1.95 ,175,5.24 ,110,3.3,84,2.52,313,9.38,406,12.16,626,18.75,596,17.86,463,13.87,411,12.31
20109,"Logan County, Kansas",1209,774,14,1.81 ,8,1.03 ,18,2.33 ,14,1.81,24,3.1,61,7.88,63,8.14,102,13.18,130,16.8,168,21.71,172,22.22
20111,"Lyon County, Kansas",13223,7684,120,1.56 ,46,0.60 ,137,1.78 ,95,1.24,172,2.24,607,7.9,990,12.88,1823,23.72,1412,18.38,1429,18.6,853,11.1
20113,"McPherson County, Kansas",12140,9040,196,2.17 ,23,0.25 ,103,1.14 ,157,1.74,287,3.17,590,6.53,858,9.49,1505,16.65,1758,19.45,2169,23.99,1394,15.42
20115,"Marion County, Kansas",4577,3719,40,1.08 ,49,1.32 ,99,2.66 ,110,2.96,112,3.01,284,7.64,429,11.54,1027,27.61,585,15.73,581,15.62,403,10.84
20117,"Marshall County, Kansas",4079,3346,47,1.40 ,48,1.43 ,155,4.63 ,121,3.62,50,1.49,270,8.07,483,14.44,642,19.19,487,14.55,647,19.34,396,11.84
20119,"Meade County, Kansas",1602,1129,17,1.51 ,4,0.35 ,15,1.33 ,33,2.92,50,4.43,74,6.55,65,5.76,169,14.97,209,18.51,240,21.26,253,22.41
20121,"Miami County, Kansas",13239,10508,284,2.70 ,26,0.25 ,136,1.29 ,115,1.09,224,2.13,507,4.82,744,7.08,1641,15.62,1684,16.03,2634,25.07,2513,23.92
20123,"Mitchell County, Kansas",2445,1852,96,5.18 ,16,0.86 ,34,1.84 ,40,2.16,45,2.43,152,8.21,183,9.88,427,23.06,324,17.49,266,14.36,269,14.52
20125,"Montgomery County, Kansas",12682,9204,160,1.74 ,177,1.92 ,349,3.79 ,363,3.94,382,4.15,739,8.03,1356,14.73,2159,23.46,1305,14.18,1470,15.97,744,8.08
20127,"Morris County, Kansas",2288,1876,92,4.90 ,19,1.01 ,34,1.81 ,157,8.37,65,3.46,204,10.87,265,14.13,308,16.42,237,12.63,305,16.26,190,10.13
20129,"Morton County, Kansas",939,687,14,2.04 ,3,0.44 ,18,2.62 ,13,1.89,13,1.89,74,10.77,83,12.08,183,26.64,95,13.83,93,13.54,98,14.26
20131,"Nemaha County, Kansas",3986,3069,23,0.75 ,27,0.88 ,63,2.05 ,65,2.12,114,3.71,171,5.57,365,11.89,519,16.91,377,12.28,728,23.72,617,20.1
20133,"Neosho County, Kansas",6207,4694,75,1.60 ,50,1.07 ,182,3.88 ,204,4.35,128,2.73,380,8.1,609,12.97,951,20.26,963,20.52,666,14.19,486,10.35
20135,"Ness County, Kansas",1144,927,17,1.83 ,4,0.43 ,13,1.40 ,44,4.75,33,3.56,82,8.85,66,7.12,183,19.74,140,15.1,233,25.13,112,12.08
20137,"Norton County, Kansas",1881,1432,43,3.00 ,13,0.91 ,13,0.91 ,42,2.93,43,3,116,8.1,319,22.28,198,13.83,251,17.53,197,13.76,197,13.76
20139,"Osage County, Kansas",6280,4932,74,1.50 ,28,0.57 ,146,2.96 ,138,2.8,121,2.45,300,6.08,613,12.43,972,19.71,991,20.09,1072,21.74,477,9.67
20141,"Osborne County, Kansas",1604,1216,26,2.14 ,11,0.90 ,42,3.45 ,21,1.73,78,6.41,106,8.72,194,15.95,166,13.65,221,18.17,180,14.8,171,14.06
20143,"Ottawa County, Kansas",2374,1845,34,1.84 ,33,1.79 ,42,2.28 ,46,2.49,42,2.28,63,3.41,147,7.97,412,22.33,355,19.24,389,21.08,282,15.28
20145,"Pawnee County, Kansas",2396,1478,11,0.74 ,13,0.88 ,20,1.35 ,24,1.62,17,1.15,119,8.05,210,14.21,287,19.42,257,17.39,310,20.97,210,14.21
20147,"Phillips County, Kansas",2191,1591,24,1.51 ,13,0.82 ,46,2.89 ,51,3.21,89,5.59,114,7.17,183,11.5,380,23.88,295,18.54,213,13.39,183,11.5
20149,"Pottawatomie County, Kansas",9054,7217,108,1.50 ,55,0.76 ,262,3.63 ,71,0.98,181,2.51,358,4.96,501,6.94,1350,18.71,1055,14.62,1776,24.61,1500,20.78
20151,"Pratt County, Kansas",3580,2506,63,2.51 ,16,0.64 ,102,4.07 ,36,1.44,119,4.75,93,3.71,305,12.17,586,23.38,357,14.25,503,20.07,326,13.01
20153,"Rawlins County, Kansas",1165,803,38,4.73 ,0,0.00 ,33,4.11 ,39,4.86,22,2.74,65,8.09,81,10.09,167,20.8,163,20.3,98,12.2,97,12.08
20155,"Reno County, Kansas",25157,17690,328,1.85 ,163,0.92 ,512,2.89 ,529,2.99,454,2.57,1757,9.93,2094,11.84,3636,20.55,2902,16.4,3368,19.04,1947,11.01
20157,"Republic County, Kansas",2029,1469,26,1.77 ,11,0.75 ,26,1.77 ,84,5.72,23,1.57,162,11.03,242,16.47,253,17.22,304,20.69,231,15.72,107,7.28
20159,"Rice County, Kansas",3763,2847,61,2.14 ,41,1.44 ,69,2.42 ,81,2.85,192,6.74,186,6.53,426,14.96,581,20.41,460,16.16,508,17.84,242,8.5
20161,"Riley County, Kansas",26765,11789,190,1.61 ,83,0.70 ,107,0.91 ,180,1.53,288,2.44,429,3.64,1049,8.9,2319,19.67,1629,13.82,2619,22.22,2896,24.57
20163,"Rooks County, Kansas",2127,1604,37,2.31 ,7,0.44 ,21,1.31 ,40,2.49,19,1.18,97,6.05,254,15.84,404,25.19,268,16.71,317,19.76,140,8.73
20165,"Rush County, Kansas",1344,1035,20,1.93 ,6,0.58 ,31,3.00 ,70,6.76,56,5.41,91,8.79,157,15.17,220,21.26,170,16.43,112,10.82,102,9.86
20167,"Russell County, Kansas",2995,2281,42,1.84 ,37,1.62 ,135,5.92 ,161,7.06,118,5.17,223,9.78,323,14.16,548,24.02,235,10.3,234,10.26,225,9.86
20169,"Saline County, Kansas",22358,15055,288,1.91 ,136,0.90 ,455,3.02 ,181,1.2,450,2.99,1011,6.72,1787,11.87,3079,20.45,2477,16.45,2959,19.65,2232,14.83
20171,"Scott County, Kansas",2143,1317,0,0.00 ,0,0.00 ,0,0.00 ,34,2.58,0,0,176,13.36,208,15.79,265,20.12,257,19.51,310,23.54,67,5.09
20173,"Sedgwick County, Kansas",202485,126637,2053,1.62 ,1336,1.05 ,2182,1.72 ,2537,2,2782,2.2,8488,6.7,13314,10.51,22245,17.57,19996,15.79,26442,20.88,25262,19.95
20175,"Seward County, Kansas",7071,4615,51,1.11 ,55,1.19 ,94,2.04 ,157,3.4,159,3.45,285,6.18,738,15.99,1048,22.71,841,18.22,658,14.26,529,11.46
20177,"Shawnee County, Kansas",74394,49740,854,1.72 ,532,1.07 ,763,1.53 ,1317,2.65,1337,2.69,3307,6.65,5726,11.51,9157,18.41,7361,14.8,11111,22.34,8275,16.64
20179,"Sheridan County, Kansas",1009,743,17,2.29 ,11,1.48 ,30,4.04 ,28,3.77,39,5.25,56,7.54,72,9.69,84,11.31,79,10.63,176,23.69,151,20.32
20181,"Sherman County, Kansas",2317,1509,78,5.17 ,25,1.66 ,12,0.80 ,20,1.33,39,2.58,60,3.98,275,18.22,256,16.96,178,11.8,306,20.28,260,17.23
20183,"Smith County, Kansas",1560,1309,11,0.84 ,19,1.45 ,32,2.44 ,76,5.81,67,5.12,177,13.52,217,16.58,205,15.66,209,15.97,153,11.69,143,10.92
20185,"Stafford County, Kansas",1610,1292,24,1.86 ,4,0.31 ,25,1.93 ,52,4.02,39,3.02,101,7.82,170,13.16,278,21.52,198,15.33,211,16.33,190,14.71
20187,"Stanton County, Kansas",888,708,17,2.40 ,0,0.00 ,0,0.00 ,14,1.98,28,3.95,31,4.38,113,15.96,189,26.69,113,15.96,68,9.6,135,19.07
20189,"Stevens County, Kansas",1715,1198,22,1.84 ,0,0.00 ,8,0.67 ,25,2.09,38,3.17,73,6.09,202,16.86,171,14.27,210,17.53,316,26.38,133,11.1
20191,"Sumner County, Kansas",8977,6676,199,2.98 ,100,1.50 ,141,2.11 ,202,3.03,232,3.48,402,6.02,1036,15.52,1225,18.35,827,12.39,1376,20.61,936,14.02
20193,"Thomas County, Kansas",3129,2264,32,1.41 ,20,0.88 ,16,0.71 ,25,1.1,82,3.62,101,4.46,162,7.16,465,20.54,502,22.17,541,23.9,318,14.05
20195,"Trego County, Kansas",1308,1073,0,0.00 ,7,0.65 ,18,1.68 ,26,2.42,13,1.21,66,6.15,168,15.66,130,12.12,258,24.04,241,22.46,146,13.61
20197,"Wabaunsee County, Kansas",2570,2105,32,1.52 ,16,0.76 ,12,0.57 ,46,2.19,40,1.9,142,6.75,255,12.11,481,22.85,348,16.53,371,17.62,362,17.2
20199,"Wallace County, Kansas",663,467,4,0.86 ,11,2.36 ,7,1.50 ,15,3.21,20,4.28,45,9.64,53,11.35,85,18.2,110,23.55,70,14.99,47,10.06
20201,"Washington County, Kansas",2344,1801,14,0.78 ,12,0.67 ,37,2.05 ,51,2.83,68,3.78,251,13.94,249,13.83,377,20.93,304,16.88,223,12.38,215,11.94
20203,"Wichita County, Kansas",880,742,0,0.00 ,7,0.94 ,82,11.05 ,24,3.23,5,0.67,28,3.77,79,10.65,144,19.41,121,16.31,90,12.13,162,21.83
20205,"Wilson County, Kansas",3492,2534,84,3.31 ,22,0.87 ,150,5.92 ,79,3.12,83,3.28,227,8.96,302,11.92,485,19.14,346,13.65,510,20.13,246,9.71
20207,"Woodson County, Kansas",1213,993,24,2.42 ,10,1.01 ,27,2.72 ,12,1.21,60,6.04,77,7.75,219,22.05,187,18.83,161,16.21,111,11.18,105,10.57
20209,"Wyandotte County, Kansas",61282,37097,864,2.33 ,354,0.95 ,857,2.31 ,951,2.56,1089,2.94,3397,9.16,4572,12.32,7514,20.26,5960,16.07,7125,19.21,4414,11.9
21001,"Adair County, Kentucky",6803,5202,153,2.94 ,112,2.15 ,314,6.04 ,265,5.09,284,5.46,438,8.42,795,15.28,1036,19.92,698,13.42,817,15.71,290,5.57
21003,"Allen County, Kentucky",7816,6014,216,3.59 ,133,2.21 ,157,2.61 ,340,5.65,185,3.08,592,9.84,598,9.94,1051,17.48,1070,17.79,1135,18.87,537,8.93
21005,"Anderson County, Kentucky",9180,7236,35,0.48 ,29,0.40 ,93,1.29 ,95,1.31,214,2.96,563,7.78,879,12.15,1409,19.47,1225,16.93,1609,22.24,1085,14.99
21007,"Ballard County, Kentucky",2959,2379,80,3.36 ,28,1.18 ,83,3.49 ,105,4.41,93,3.91,240,10.09,297,12.48,468,19.67,245,10.3,371,15.59,369,15.51
21009,"Barren County, Kentucky",17592,11654,278,2.39 ,227,1.95 ,318,2.73 ,566,4.86,444,3.81,979,8.4,1745,14.97,2181,18.71,1904,16.34,1714,14.71,1298,11.14
21011,"Bath County, Kentucky",4844,3501,75,2.14 ,67,1.91 ,111,3.17 ,155,4.43,262,7.48,313,8.94,525,15,613,17.51,573,16.37,513,14.65,294,8.4
21013,"Bell County, Kentucky",9456,5966,213,3.57 ,171,2.87 ,267,4.48 ,595,9.97,286,4.79,866,14.52,859,14.4,1209,20.26,667,11.18,604,10.12,229,3.84
21015,"Boone County, Kentucky",49587,37766,248,0.66 ,133,0.35 ,376,1.00 ,397,1.05,683,1.81,1474,3.9,3203,8.48,5781,15.31,5496,14.55,9893,26.2,10082,26.7
21017,"Bourbon County, Kentucky",8067,5219,134,2.57 ,130,2.49 ,161,3.08 ,147,2.82,180,3.45,339,6.5,805,15.42,768,14.72,705,13.51,1046,20.04,804,15.41
21019,"Boyd County, Kentucky",18533,12777,304,2.38 ,150,1.17 ,536,4.20 ,518,4.05,342,2.68,1095,8.57,1206,9.44,2380,18.63,2007,15.71,2518,19.71,1721,13.47
21021,"Boyle County, Kentucky",11649,8020,271,3.38 ,56,0.70 ,359,4.48 ,289,3.6,347,4.33,459,5.72,816,10.17,1581,19.71,1179,14.7,1539,19.19,1124,14.01
21023,"Bracken County, Kentucky",3138,2526,55,2.18 ,64,2.53 ,67,2.65 ,111,4.39,101,4,262,10.37,244,9.66,496,19.64,357,14.13,473,18.73,296,11.72
21025,"Breathitt County, Kentucky",5529,4031,180,4.47 ,92,2.28 ,371,9.20 ,188,4.66,338,8.39,465,11.54,486,12.06,743,18.43,530,13.15,497,12.33,141,3.5
21027,"Breckinridge County, Kentucky",7542,6215,203,3.27 ,70,1.13 ,527,8.48 ,231,3.72,336,5.41,490,7.88,852,13.71,1077,17.33,736,11.84,1070,17.22,623,10.02
21029,"Bullitt County, Kentucky",31068,25665,443,1.73 ,227,0.88 ,569,2.22 ,629,2.45,828,3.23,1471,5.73,2701,10.52,4887,19.04,3915,15.25,5730,22.33,4265,16.62
21031,"Butler County, Kentucky",4501,3248,127,3.91 ,51,1.57 ,200,6.16 ,118,3.63,141,4.34,371,11.42,446,13.73,626,19.27,549,16.9,395,12.16,224,6.9
21033,"Caldwell County, Kentucky",5128,3749,73,1.95 ,166,4.43 ,116,3.09 ,176,4.69,121,3.23,279,7.44,533,14.22,795,21.21,566,15.1,415,11.07,509,13.58
21035,"Calloway County, Kentucky",14805,9539,261,2.74 ,157,1.65 ,292,3.06 ,421,4.41,549,5.76,835,8.75,1219,12.78,1670,17.51,1340,14.05,1657,17.37,1138,11.93
21037,"Campbell County, Kentucky",38684,27670,545,1.97 ,392,1.42 ,562,2.03 ,572,2.07,408,1.47,1772,6.4,2679,9.68,4054,14.65,3680,13.3,5900,21.32,7106,25.68
21039,"Carlisle County, Kentucky",1905,1458,28,1.92 ,25,1.71 ,109,7.48 ,42,2.88,46,3.16,220,15.09,151,10.36,235,16.12,135,9.26,300,20.58,167,11.45
21041,"Carroll County, Kentucky",4039,2744,32,1.17 ,70,2.55 ,172,6.27 ,144,5.25,177,6.45,199,7.25,335,12.21,410,14.94,392,14.29,604,22.01,209,7.62
21043,"Carter County, Kentucky",9778,7769,326,4.20 ,253,3.26 ,473,6.09 ,406,5.23,505,6.5,697,8.97,857,11.03,1415,18.21,898,11.56,1302,16.76,637,8.2
21045,"Casey County, Kentucky",6029,4568,260,5.69 ,112,2.45 ,247,5.41 ,196,4.29,239,5.23,464,10.16,945,20.69,663,14.51,579,12.68,594,13,269,5.89
21047,"Christian County, Kentucky",25602,12771,558,4.37 ,352,2.76 ,479,3.75 ,472,3.7,376,2.94,1302,10.19,1565,12.25,2536,19.86,1776,13.91,1975,15.46,1380,10.81
21049,"Clark County, Kentucky",14762,10565,138,1.31 ,139,1.32 ,290,2.74 ,387,3.66,277,2.62,821,7.77,1353,12.81,2031,19.22,1312,12.42,2292,21.69,1525,14.43
21051,"Clay County, Kentucky",7110,5314,298,5.61 ,187,3.52 ,463,8.71 ,336,6.32,304,5.72,646,12.16,711,13.38,804,15.13,775,14.58,608,11.44,182,3.42
21053,"Clinton County, Kentucky",3672,2674,63,2.36 ,60,2.24 ,234,8.75 ,81,3.03,113,4.23,379,14.17,596,22.29,415,15.52,319,11.93,286,10.7,128,4.79
21055,"Crittenden County, Kentucky",3495,2810,150,5.34 ,59,2.10 ,105,3.74 ,174,6.19,183,6.51,368,13.1,339,12.06,366,13.02,444,15.8,419,14.91,203,7.22
21057,"Cumberland County, Kentucky",2519,1909,141,7.39 ,105,5.50 ,148,7.75 ,18,0.94,38,1.99,178,9.32,380,19.91,376,19.7,128,6.71,342,17.92,55,2.88
21059,"Daviess County, Kentucky",40722,27646,817,2.96 ,216,0.78 ,565,2.04 ,756,2.73,841,3.04,1636,5.92,3282,11.87,4779,17.29,4296,15.54,5856,21.18,4602,16.65
21061,"Edmonson County, Kentucky",4760,3960,53,1.34 ,108,2.73 ,267,6.74 ,267,6.74,98,2.47,442,11.16,446,11.26,745,18.81,662,16.72,673,16.99,199,5.03
21063,"Elliott County, Kentucky",2263,1735,57,3.29 ,13,0.75 ,104,5.99 ,157,9.05,105,6.05,252,14.52,303,17.46,348,20.06,103,5.94,262,15.1,31,1.79
21065,"Estill County, Kentucky",5740,4239,286,6.75 ,48,1.13 ,320,7.55 ,156,3.68,96,2.26,680,16.04,508,11.98,790,18.64,687,16.21,398,9.39,270,6.37
21067,"Fayette County, Kentucky",136104,73941,977,1.32 ,731,0.99 ,896,1.21 ,1299,1.76,1673,2.26,3549,4.8,6526,8.83,11860,16.04,9486,12.83,16359,22.12,20585,27.84
21069,"Fleming County, Kentucky",5747,4279,35,0.82 ,151,3.53 ,203,4.74 ,350,8.18,139,3.25,435,10.17,602,14.07,735,17.18,796,18.6,550,12.85,283,6.61
21071,"Floyd County, Kentucky",14282,10176,441,4.33 ,376,3.69 ,685,6.73 ,606,5.96,732,7.19,1272,12.5,1109,10.9,1594,15.66,1315,12.92,1458,14.33,588,5.78
21073,"Franklin County, Kentucky",22553,14267,203,1.42 ,113,0.79 ,235,1.65 ,441,3.09,321,2.25,1047,7.34,1573,11.03,2480,17.38,2361,16.55,3218,22.56,2275,15.95
21075,"Fulton County, Kentucky",2378,1525,44,2.89 ,7,0.46 ,94,6.16 ,70,4.59,36,2.36,327,21.44,298,19.54,318,20.85,91,5.97,188,12.33,52,3.41
21077,"Gallatin County, Kentucky",3108,2192,32,1.46 ,86,3.92 ,73,3.33 ,54,2.46,48,2.19,195,8.9,289,13.18,435,19.84,315,14.37,479,21.85,186,8.49
21079,"Garrard County, Kentucky",6488,5248,82,1.56 ,72,1.37 ,185,3.53 ,209,3.98,278,5.3,438,8.35,727,13.85,883,16.83,601,11.45,1050,20.01,723,13.78
21081,"Grant County, Kentucky",9146,6602,207,3.14 ,39,0.59 ,282,4.27 ,196,2.97,242,3.67,505,7.65,499,7.56,1151,17.43,1211,18.34,1340,20.3,930,14.09
21083,"Graves County, Kentucky",14304,10699,413,3.86 ,230,2.15 ,607,5.67 ,329,3.08,606,5.66,809,7.56,1320,12.34,1840,17.2,1771,16.55,1554,14.52,1220,11.4
21085,"Grayson County, Kentucky",9705,7464,310,4.15 ,179,2.40 ,550,7.37 ,396,5.31,245,3.28,630,8.44,1220,16.35,1252,16.77,1052,14.09,833,11.16,797,10.68
21087,"Green County, Kentucky",4399,3275,119,3.63 ,87,2.66 ,185,5.65 ,253,7.73,190,5.8,464,14.17,380,11.6,515,15.73,486,14.84,396,12.09,200,6.11
21089,"Greenup County, Kentucky",14478,11421,370,3.24 ,135,1.18 ,371,3.25 ,406,3.55,566,4.96,983,8.61,1250,10.94,2489,21.79,1348,11.8,1720,15.06,1783,15.61
21091,"Hancock County, Kentucky",3466,2748,76,2.77 ,41,1.49 ,74,2.69 ,91,3.31,131,4.77,163,5.93,312,11.35,429,15.61,530,19.29,554,20.16,347,12.63
21093,"Hardin County, Kentucky",42638,26458,431,1.63 ,252,0.95 ,554,2.09 ,489,1.85,718,2.71,2127,8.04,2914,11.01,5071,19.17,4004,15.13,5585,21.11,4313,16.3
21095,"Harlan County, Kentucky",10498,7230,298,4.12 ,201,2.78 ,480,6.64 ,490,6.78,551,7.62,821,11.36,1128,15.6,1463,20.24,840,11.62,558,7.72,400,5.53
21097,"Harrison County, Kentucky",7291,5149,185,3.59 ,22,0.43 ,392,7.61 ,58,1.13,184,3.57,413,8.02,510,9.9,968,18.8,813,15.79,981,19.05,623,12.1
21099,"Hart County, Kentucky",7199,5306,255,4.81 ,153,2.88 ,304,5.73 ,215,4.05,462,8.71,568,10.7,710,13.38,799,15.06,805,15.17,604,11.38,431,8.12
21101,"Henderson County, Kentucky",18285,11745,433,3.69 ,45,0.38 ,497,4.23 ,326,2.78,273,2.32,616,5.24,1394,11.87,2634,22.43,1649,14.04,2049,17.45,1829,15.57
21103,"Henry County, Kentucky",6017,4472,261,5.84 ,50,1.12 ,97,2.17 ,78,1.74,248,5.55,196,4.38,498,11.14,1074,24.02,677,15.14,778,17.4,515,11.52
21105,"Hickman County, Kentucky",1621,1245,6,0.48 ,20,1.61 ,49,3.94 ,30,2.41,67,5.38,95,7.63,134,10.76,138,11.08,300,24.1,220,17.67,186,14.94
21107,"Hopkins County, Kentucky",18345,12829,355,2.77 ,228,1.78 ,472,3.68 ,615,4.79,523,4.08,1013,7.9,1494,11.65,2619,20.41,2002,15.61,2311,18.01,1197,9.33
21109,"Jackson County, Kentucky",5154,4075,120,2.94 ,70,1.72 ,416,10.21 ,128,3.14,458,11.24,465,11.41,452,11.09,1021,25.06,314,7.71,418,10.26,213,5.23
21111,"Jefferson County, Kentucky",327211,202118,3444,1.70 ,2003,0.99 ,3806,1.88 ,4893,2.42,5195,2.57,12599,6.23,20845,10.31,34703,17.17,29090,14.39,40015,19.8,45525,22.52
21113,"Jessamine County, Kentucky",19251,13251,148,1.12 ,333,2.51 ,295,2.23 ,269,2.03,224,1.69,867,6.54,1104,8.33,2436,18.38,1783,13.46,3041,22.95,2751,20.76
21115,"Johnson County, Kentucky",8534,5911,267,4.52 ,113,1.91 ,309,5.23 ,267,4.52,376,6.36,480,8.12,876,14.82,1074,18.17,678,11.47,976,16.51,495,8.37
