FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
13157,Georgia,Jackson,ARC,"Jackson County, Georgia",59926,38397,38299,36907,1392,98,21529,3.63%,35.93%,25740,834,3.24%,621,2.41%,1253,4.87%,1936,7.52%,2749,10.68%,4335,16.84%,3781,14.69%,5393,20.95%,2301,8.94%,2537,9.86%,82056,8000,31.08%,1208,4.69%,591,2.30%,2125,8.26%,5.8
13187,Georgia,Lumpkin,ARC,"Lumpkin County, Georgia",28477,16279,16144,15327,817,135,12198,5.06%,42.83%,11450,553,4.83%,646,5.64%,1174,10.25%,1119,9.77%,1262,11.02%,1523,13.30%,1704,14.88%,1707,14.91%,1036,9.05%,726,6.34%,67592,4184,36.54%,379,3.31%,148,1.29%,941,8.22%,7.6
13195,Georgia,Madison,ARC,"Madison County, Georgia",24111,14139,14139,13312,827,0,9972,5.85%,41.36%,10883,580,5.33%,681,6.26%,961,8.83%,1525,14.01%,1469,13.50%,1474,13.54%,1378,12.66%,1786,16.41%,551,5.06%,478,4.39%,53626,3915,35.97%,793,7.29%,179,1.64%,1501,13.79%,18.4
13213,Georgia,Murray,ARC,"Murray County, Georgia",31590,19186,19173,17895,1278,13,12404,6.67%,39.27%,14859,587,3.95%,913,6.14%,1261,8.49%,1610,10.84%,1986,13.37%,2756,18.55%,2433,16.37%,1987,13.37%,627,4.22%,699,4.70%,60617,4851,32.65%,1199,8.07%,300,2.02%,1969,13.25%,10.9
13223,Georgia,Paulding,ARC,"Paulding County, Georgia",131973,88005,87707,84122,3585,298,43968,4.09%,33.32%,56715,1690,2.98%,516,0.91%,2454,4.33%,2439,4.30%,5446,9.60%,9887,17.43%,9783,17.25%,13668,24.10%,6619,11.67%,4213,7.43%,89237,14631,25.80%,2743,4.84%,1632,2.88%,5096,8.99%,5.2
13227,Georgia,Pickens,ARC,"Pickens County, Georgia",27928,16154,16071,15344,727,83,11774,4.52%,42.16%,13042,496,3.80%,399,3.06%,1188,9.11%,1131,8.67%,1461,11.20%,2097,16.08%,1874,14.37%,2738,20.99%,828,6.35%,830,6.36%,72558,5596,42.91%,494,3.79%,200,1.53%,1214,9.31%,12.1
13233,Georgia,Polk,ARC,"Polk County, Georgia",33335,19255,19176,18253,923,79,14080,4.81%,42.24%,15517,978,6.30%,917,5.91%,1796,11.57%,1644,10.59%,2163,13.94%,2334,15.04%,2226,14.35%,2075,13.37%,829,5.34%,555,3.58%,51956,5313,34.24%,1128,7.27%,639,4.12%,2542,16.38%,14.5
13241,Georgia,Rabun,ARC,"Rabun County, Georgia",14612,7045,7035,6849,186,10,7567,2.64%,51.79%,7020,283,4.03%,599,8.53%,596,8.49%,836,11.91%,811,11.55%,1149,16.37%,995,14.17%,910,12.96%,353,5.03%,488,6.95%,57261,3306,47.09%,344,4.90%,150,2.14%,825,11.75%,10.7
13257,Georgia,Stephens,ARC,"Stephens County, Georgia",21697,12005,12005,11303,702,0,9692,5.85%,44.67%,10213,601,5.88%,363,3.55%,1426,13.96%,1125,11.02%,1372,13.43%,2117,20.73%,1164,11.40%,1327,12.99%,502,4.92%,216,2.11%,52901,4501,44.07%,741,7.26%,192,1.88%,1555,15.23%,7.9
13281,Georgia,Towns,ARC,"Towns County, Georgia",11180,4900,4900,4631,269,0,6280,5.49%,56.17%,5464,277,5.07%,365,6.68%,666,12.19%,530,9.70%,630,11.53%,1085,19.86%,703,12.87%,661,12.10%,285,5.22%,262,4.80%,55574,3065,56.09%,225,4.12%,63,1.15%,495,9.06%,12.6
13291,Georgia,Union,ARC,"Union County, Georgia",21620,10004,9994,9721,273,10,11616,2.73%,53.73%,10759,429,3.99%,324,3.01%,1326,12.32%,1035,9.62%,1300,12.08%,1976,18.37%,1349,12.54%,1519,14.12%,715,6.65%,786,7.31%,59783,5817,54.07%,528,4.91%,76,0.71%,921,8.56%,8.5
13295,Georgia,Walker,ARC,"Walker County, Georgia",55234,32500,32463,30682,1781,37,22734,5.49%,41.16%,26087,1225,4.70%,1618,6.20%,2790,10.69%,2601,9.97%,4133,15.84%,5102,19.56%,3548,13.60%,3026,11.60%,968,3.71%,1076,4.12%,52276,10395,39.85%,1503,5.76%,384,1.47%,2980,11.42%,10.9
13311,Georgia,White,ARC,"White County, Georgia",23479,13066,13052,12598,454,14,10413,3.48%,44.35%,10344,562,5.43%,244,2.36%,725,7.01%,921,8.90%,1654,15.99%,1606,15.53%,1905,18.42%,1621,15.67%,588,5.68%,518,5.01%,66256,4247,41.06%,446,4.31%,147,1.42%,943,9.12%,10.3
13313,Georgia,Whitfield,ARC,"Whitfield County, Georgia",79767,50278,50272,47406,2866,6,29489,5.70%,36.97%,35797,1297,3.62%,1301,3.63%,3518,9.83%,3846,10.74%,4770,13.33%,6860,19.16%,5457,15.24%,5213,14.56%,1810,5.06%,1725,4.82%,59659,11090,30.98%,2155,6.02%,613,1.71%,3165,8.84%,11.1
21001,Kentucky,Adair,ARC,"Adair County, Kentucky",15548,8382,8382,7825,557,0,7166,6.65%,46.09%,6803,371,5.45%,666,9.79%,785,11.54%,574,8.44%,1032,15.17%,1352,19.87%,804,11.82%,910,13.38%,180,2.65%,129,1.90%,49690,3030,44.54%,671,9.86%,123,1.81%,1002,14.73%,16.6
21011,Kentucky,Bath,ARC,"Bath County, Kentucky",9822,5006,5006,4862,144,0,4816,2.88%,49.03%,4844,251,5.18%,466,9.62%,567,11.71%,409,8.44%,709,14.64%,894,18.46%,665,13.73%,549,11.33%,220,4.54%,114,2.35%,51471,1790,36.95%,505,10.43%,69,1.42%,976,20.15%,19.6
21013,Kentucky,Bell,ARC,"Bell County, Kentucky",19663,8047,8047,7246,801,0,11616,9.95%,59.08%,9456,1091,11.54%,935,9.89%,1571,16.61%,1248,13.20%,1288,13.62%,1567,16.57%,841,8.89%,671,7.10%,150,1.59%,94,0.99%,33658,4646,49.13%,1286,13.60%,810,8.57%,2344,24.79%,21.9
21019,Kentucky,Boyd,ARC,"Boyd County, Kentucky",39136,20545,20531,19119,1412,14,18591,6.88%,47.50%,18533,996,5.37%,1392,7.51%,1901,10.26%,1753,9.46%,1969,10.62%,3427,18.49%,2408,12.99%,2853,15.39%,916,4.94%,918,4.95%,58327,7771,41.93%,1738,9.38%,457,2.47%,3026,16.33%,13.5
21025,Kentucky,Breathitt,ARC,"Breathitt County, Kentucky",11087,4997,4997,4553,444,0,6090,8.89%,54.93%,5529,494,8.93%,726,13.13%,788,14.25%,588,10.63%,655,11.85%,1006,18.19%,569,10.29%,550,9.95%,88,1.59%,65,1.18%,38209,2504,45.29%,1114,20.15%,197,3.56%,1664,30.10%,24.2
21043,Kentucky,Carter,ARC,"Carter County, Kentucky",21493,9759,9759,9177,582,0,11734,5.96%,54.59%,9778,1080,11.05%,671,6.86%,1171,11.98%,986,10.08%,1256,12.85%,1656,16.94%,959,9.81%,1350,13.81%,364,3.72%,285,2.91%,47004,4257,43.54%,845,8.64%,188,1.92%,2034,20.80%,19.3
21045,Kentucky,Casey,ARC,"Casey County, Kentucky",12760,6132,6126,5490,636,6,6628,10.38%,51.94%,6029,526,8.72%,561,9.31%,759,12.59%,656,10.88%,1138,18.88%,846,14.03%,636,10.55%,614,10.18%,120,1.99%,173,2.87%,42190,2601,43.14%,659,10.93%,58,0.96%,1143,18.96%,22.7
21049,Kentucky,Clark,ARC,"Clark County, Kentucky",29609,17741,17741,16821,920,0,11868,5.19%,40.08%,14762,712,4.82%,822,5.57%,1282,8.68%,1218,8.25%,2024,13.71%,2759,18.69%,1712,11.60%,2611,17.69%,906,6.14%,716,4.85%,61878,5620,38.07%,983,6.66%,290,1.96%,1909,12.93%,11.6
21051,Kentucky,Clay,ARC,"Clay County, Kentucky",16532,6891,6891,6202,689,0,9641,10.00%,58.32%,7110,745,10.48%,857,12.05%,890,12.52%,953,13.40%,965,13.57%,1012,14.23%,873,12.28%,608,8.55%,132,1.86%,75,1.05%,37888,3133,44.06%,1395,19.62%,151,2.12%,2333,32.81%,27.8
21053,Kentucky,Clinton,ARC,"Clinton County, Kentucky",7561,3968,3968,3746,222,0,3593,5.59%,47.52%,3672,281,7.65%,349,9.50%,369,10.05%,497,13.53%,770,20.97%,489,13.32%,431,11.74%,358,9.75%,67,1.82%,61,1.66%,41180,1571,42.78%,507,13.81%,123,3.35%,831,22.63%,16.3
21057,Kentucky,Cumberland,ARC,"Cumberland County, Kentucky",4784,2454,2454,2361,93,0,2330,3.79%,48.70%,2519,317,12.58%,299,11.87%,199,7.90%,211,8.38%,503,19.97%,440,17.47%,145,5.76%,342,13.58%,45,1.79%,18,0.71%,40515,961,38.15%,284,11.27%,26,1.03%,553,21.95%,23.4
21061,Kentucky,Edmonson,ARC,"Edmonson County, Kentucky",10186,5074,5073,4727,346,1,5112,6.82%,50.19%,4760,237,4.98%,354,7.44%,414,8.70%,627,13.17%,659,13.84%,812,17.06%,710,14.92%,727,15.27%,157,3.30%,63,1.32%,53029,2054,43.15%,301,6.32%,26,0.55%,581,12.21%,11.7
21063,Kentucky,Elliott,ARC,"Elliott County, Kentucky",6158,2005,2005,1884,121,0,4153,6.03%,67.44%,2263,208,9.19%,244,10.78%,289,12.77%,273,12.06%,348,15.38%,363,16.04%,222,9.81%,285,12.59%,20,0.88%,11,0.49%,39469,1076,47.55%,280,12.37%,34,1.50%,566,25.01%,20
21065,Kentucky,Estill,ARC,"Estill County, Kentucky",11436,5275,5275,4815,460,0,6161,8.72%,53.87%,5740,594,10.35%,619,10.78%,601,10.47%,851,14.83%,597,10.40%,1029,17.93%,713,12.42%,466,8.12%,164,2.86%,106,1.85%,39980,2319,40.40%,778,13.55%,297,5.17%,1697,29.56%,19.7
21069,Kentucky,Fleming,ARC,"Fleming County, Kentucky",11908,6606,6606,6049,557,0,5302,8.43%,44.52%,5747,422,7.34%,351,6.11%,739,12.86%,656,11.41%,821,14.29%,977,17.00%,844,14.69%,635,11.05%,148,2.58%,154,2.68%,46885,2232,38.84%,568,9.88%,100,1.74%,1124,19.56%,16.8
21071,Kentucky,Floyd,ARC,"Floyd County, Kentucky",28704,12080,12066,11249,817,14,16624,6.77%,57.92%,14282,1563,10.94%,1423,9.96%,1950,13.65%,1745,12.22%,1464,10.25%,2198,15.39%,1722,12.06%,1594,11.16%,433,3.03%,190,1.33%,38723,6932,48.54%,1989,13.93%,282,1.97%,3542,24.80%,25.6
21079,Kentucky,Garrard,ARC,"Garrard County, Kentucky",13864,7612,7612,7209,403,0,6252,5.29%,45.10%,6488,280,4.32%,276,4.25%,684,10.54%,586,9.03%,1051,16.20%,1088,16.77%,665,10.25%,1106,17.05%,485,7.48%,267,4.12%,58263,2475,38.15%,477,7.35%,75,1.16%,864,13.32%,13.8
21087,Kentucky,Green,ARC,"Green County, Kentucky",9051,4516,4516,4088,428,0,4535,9.48%,50.10%,4399,286,6.50%,372,8.46%,700,15.91%,650,14.78%,544,12.37%,609,13.84%,575,13.07%,439,9.98%,115,2.61%,109,2.48%,38595,2020,45.92%,615,13.98%,135,3.07%,821,18.66%,16.6
21089,Kentucky,Greenup,ARC,"Greenup County, Kentucky",29276,14663,14644,13741,903,19,14613,6.17%,49.91%,14478,1008,6.96%,804,5.55%,1329,9.18%,1377,9.51%,1669,11.53%,3017,20.84%,1638,11.31%,1821,12.58%,1073,7.41%,742,5.13%,58562,6224,42.99%,945,6.53%,241,1.66%,1709,11.80%,11.8
21095,Kentucky,Harlan,ARC,"Harlan County, Kentucky",21112,8367,8367,7463,904,0,12745,10.80%,60.37%,10498,1002,9.54%,1066,10.15%,1801,17.16%,1366,13.01%,1391,13.25%,1750,16.67%,977,9.31%,745,7.10%,201,1.91%,199,1.90%,35128,5182,49.36%,1371,13.06%,883,8.41%,2914,27.76%,27
21099,Kentucky,Hart,ARC,"Hart County, Kentucky",15109,8181,8181,7892,289,0,6928,3.53%,45.85%,7199,561,7.79%,637,8.85%,985,13.68%,731,10.15%,953,13.24%,1114,15.47%,1127,15.65%,658,9.14%,184,2.56%,249,3.46%,45561,2753,38.24%,651,9.04%,120,1.67%,1300,18.06%,17.8
21109,Kentucky,Jackson,ARC,"Jackson County, Kentucky",10456,4596,4596,4321,275,0,5860,5.98%,56.04%,5154,322,6.25%,679,13.17%,721,13.99%,568,11.02%,601,11.66%,1226,23.79%,391,7.59%,433,8.40%,172,3.34%,41,0.80%,38516,2308,44.78%,758,14.71%,91,1.77%,1302,25.26%,17.8
21115,Kentucky,Johnson,ARC,"Johnson County, Kentucky",18162,8095,8095,7662,433,0,10067,5.35%,55.43%,8534,857,10.04%,663,7.77%,1210,14.18%,726,8.51%,1192,13.97%,1268,14.86%,938,10.99%,1176,13.78%,354,4.15%,150,1.76%,44231,3755,44.00%,1003,11.75%,175,2.05%,1994,23.37%,16.6
21119,Kentucky,Knott,ARC,"Knott County, Kentucky",11795,4721,4721,4219,502,0,7074,10.63%,59.97%,5563,532,9.56%,542,9.74%,723,13.00%,859,15.44%,796,14.31%,837,15.05%,565,10.16%,464,8.34%,167,3.00%,78,1.40%,38336,2652,47.67%,873,15.69%,158,2.84%,1607,28.89%,23.7
21121,Kentucky,Knox,ARC,"Knox County, Kentucky",23722,10118,10118,9221,897,0,13604,8.87%,57.35%,11229,1415,12.60%,1436,12.79%,2007,17.87%,857,7.63%,1323,11.78%,1574,14.02%,993,8.84%,1029,9.16%,280,2.49%,315,2.81%,34254,4582,40.81%,2331,20.76%,313,2.79%,3389,30.18%,31.4
21125,Kentucky,Laurel,ARC,"Laurel County, Kentucky",49979,26926,26926,25949,977,0,23053,3.63%,46.13%,23424,2023,8.64%,1502,6.41%,2219,9.47%,2090,8.92%,3244,13.85%,3873,16.53%,3431,14.65%,3224,13.76%,1187,5.07%,631,2.69%,53693,9103,38.86%,1830,7.81%,383,1.64%,4013,17.13%,17.5
21127,Kentucky,Lawrence,ARC,"Lawrence County, Kentucky",12710,4837,4837,4586,251,0,7873,5.19%,61.94%,5721,558,9.75%,362,6.33%,802,14.02%,795,13.90%,691,12.08%,1044,18.25%,557,9.74%,558,9.75%,264,4.61%,90,1.57%,42488,2725,47.63%,796,13.91%,198,3.46%,1444,25.24%,24.6
21129,Kentucky,Lee,ARC,"Lee County, Kentucky",6008,2497,2487,2286,201,10,3511,8.08%,58.44%,2637,267,10.13%,392,14.87%,398,15.09%,421,15.97%,417,15.81%,348,13.20%,175,6.64%,162,6.14%,34,1.29%,23,0.87%,31682,1202,45.58%,429,16.27%,65,2.46%,830,31.48%,24.1
21131,Kentucky,Leslie,ARC,"Leslie County, Kentucky",8483,3715,3715,3344,371,0,4768,9.99%,56.21%,3698,314,8.49%,439,11.87%,448,12.11%,606,16.39%,457,12.36%,696,18.82%,239,6.46%,474,12.82%,10,0.27%,15,0.41%,37019,1964,53.11%,386,10.44%,165,4.46%,943,25.50%,31.9
21133,Kentucky,Letcher,ARC,"Letcher County, Kentucky",17392,7576,7576,6989,587,0,9816,7.75%,56.44%,8415,798,9.48%,968,11.50%,1179,14.01%,1005,11.94%,1072,12.74%,1441,17.12%,918,10.91%,735,8.73%,152,1.81%,147,1.75%,38466,4036,47.96%,1168,13.88%,142,1.69%,2425,28.82%,25.1
21135,Kentucky,Lewis,ARC,"Lewis County, Kentucky",10474,4464,4464,4136,328,0,6010,7.35%,57.38%,4757,430,9.04%,401,8.43%,829,17.43%,660,13.87%,565,11.88%,807,16.96%,487,10.24%,398,8.37%,117,2.46%,63,1.32%,36662,2193,46.10%,514,10.81%,82,1.72%,1086,22.83%,22.5
21137,Kentucky,Lincoln,ARC,"Lincoln County, Kentucky",19172,10557,10557,9865,692,0,8615,6.55%,44.94%,9692,570,5.88%,829,8.55%,1037,10.70%,1046,10.79%,1427,14.72%,1964,20.26%,988,10.19%,1207,12.45%,408,4.21%,216,2.23%,49487,3832,39.54%,1070,11.04%,143,1.48%,1594,16.45%,13.3
21147,Kentucky,McCreary,ARC,"McCreary County, Kentucky",13568,5171,5171,4881,290,0,8397,5.61%,61.89%,5510,679,12.32%,838,15.21%,566,10.27%,672,12.20%,687,12.47%,976,17.71%,515,9.35%,375,6.81%,180,3.27%,22,0.40%,35000,2373,43.07%,1039,18.86%,129,2.34%,1768,32.09%,28.3
21151,Kentucky,Madison,ARC,"Madison County, Kentucky",75695,47931,47819,45222,2597,112,27764,5.43%,36.68%,36148,2219,6.14%,1801,4.98%,3184,8.81%,3282,9.08%,4733,13.09%,6023,16.66%,4557,12.61%,6113,16.91%,2538,7.02%,1698,4.70%,59797,11571,32.01%,2276,6.30%,547,1.51%,4481,12.40%,10.9
21153,Kentucky,Magoffin,ARC,"Magoffin County, Kentucky",9300,3422,3422,2983,439,0,5878,12.83%,63.20%,4554,530,11.64%,541,11.88%,728,15.99%,705,15.48%,540,11.86%,648,14.23%,396,8.70%,265,5.82%,99,2.17%,102,2.24%,31927,2274,49.93%,822,18.05%,66,1.45%,1486,32.63%,25.9
21159,Kentucky,Martin,ARC,"Martin County, Kentucky",9438,3272,3239,3032,207,33,6166,6.39%,65.33%,3756,442,11.77%,466,12.41%,276,7.35%,464,12.35%,429,11.42%,705,18.77%,182,4.85%,581,15.47%,90,2.40%,121,3.22%,45265,1796,47.82%,625,16.64%,98,2.61%,858,22.84%,20.1
21165,Kentucky,Menifee,ARC,"Menifee County, Kentucky",4891,2103,2103,2005,98,0,2788,4.66%,57.00%,2262,255,11.27%,234,10.34%,245,10.83%,207,9.15%,297,13.13%,285,12.60%,340,15.03%,310,13.70%,82,3.63%,7,0.31%,43797,1015,44.87%,302,13.35%,55,2.43%,458,20.25%,22
21169,Kentucky,Metcalfe,ARC,"Metcalfe County, Kentucky",8199,4562,4562,4343,219,0,3637,4.80%,44.36%,4160,222,5.34%,439,10.55%,443,10.65%,583,14.01%,526,12.64%,811,19.50%,418,10.05%,515,12.38%,146,3.51%,57,1.37%,46932,1704,40.96%,398,9.57%,129,3.10%,685,16.47%,19.7
21171,Kentucky,Monroe,ARC,"Monroe County, Kentucky",9035,5217,5211,4932,279,6,3818,5.35%,42.26%,4544,386,8.49%,437,9.62%,454,9.99%,536,11.80%,561,12.35%,763,16.79%,478,10.52%,581,12.79%,239,5.26%,109,2.40%,47252,2079,45.75%,357,7.86%,102,2.24%,810,17.83%,17.5
21173,Kentucky,Montgomery,ARC,"Montgomery County, Kentucky",22410,12401,12372,11632,740,29,10009,5.98%,44.66%,10705,733,6.85%,692,6.46%,1151,10.75%,825,7.71%,1631,15.24%,1897,17.72%,1528,14.27%,1722,16.09%,362,3.38%,164,1.53%,53436,3763,35.15%,823,7.69%,151,1.41%,2063,19.27%,12.6
21175,Kentucky,Morgan,ARC,"Morgan County, Kentucky",11641,4523,4507,4367,140,16,7118,3.11%,61.15%,4665,350,7.50%,440,9.43%,605,12.97%,434,9.30%,687,14.73%,784,16.81%,521,11.17%,428,9.17%,299,6.41%,117,2.51%,46018,2115,45.34%,506,10.85%,75,1.61%,944,20.24%,17.5
21181,Kentucky,Nicholas,ARC,"Nicholas County, Kentucky",6031,3146,3146,2969,177,0,2885,5.63%,47.84%,2614,188,7.19%,119,4.55%,237,9.07%,393,15.03%,271,10.37%,434,16.60%,474,18.13%,312,11.94%,122,4.67%,64,2.45%,57539,1038,39.71%,268,10.25%,68,2.60%,322,12.32%,13.6
21189,Kentucky,Owsley,ARC,"Owsley County, Kentucky",3439,1279,1279,1098,181,0,2160,14.15%,62.81%,1383,155,11.21%,191,13.81%,189,13.67%,191,13.81%,171,12.36%,133,9.62%,222,16.05%,91,6.58%,40,2.89%,0,0.00%,32844,731,52.86%,362,26.17%,33,2.39%,413,29.86%,19.1
21193,Kentucky,Perry,ARC,"Perry County, Kentucky",22377,10927,10927,10104,823,0,11450,7.53%,51.17%,11279,874,7.75%,1156,10.25%,1092,9.68%,1795,15.91%,1095,9.71%,1832,16.24%,1420,12.59%,1230,10.91%,460,4.08%,325,2.88%,45330,4467,39.60%,1659,14.71%,86,0.76%,2824,25.04%,19.8
21195,Kentucky,Pike,ARC,"Pike County, Kentucky",47814,20786,20786,19273,1513,0,27028,7.28%,56.53%,23967,2530,10.56%,2129,8.88%,3558,14.85%,2466,10.29%,3169,13.22%,3740,15.60%,2716,11.33%,2409,10.05%,692,2.89%,558,2.33%,41271,11522,48.07%,2955,12.33%,440,1.84%,4690,19.57%,19.5
21197,Kentucky,Powell,ARC,"Powell County, Kentucky",10169,5200,5200,4832,368,0,4969,7.08%,48.86%,4658,418,8.97%,612,13.14%,639,13.72%,552,11.85%,388,8.33%,381,8.18%,798,17.13%,696,14.94%,105,2.25%,69,1.48%,38415,1866,40.06%,574,12.32%,50,1.07%,952,20.44%,16
21199,Kentucky,Pulaski,ARC,"Pulaski County, Kentucky",52517,28683,28668,27268,1400,15,23834,4.88%,45.38%,25711,2082,8.10%,2248,8.74%,2580,10.03%,3159,12.29%,3135,12.19%,3932,15.29%,3218,12.52%,3114,12.11%,1296,5.04%,947,3.68%,48768,10422,40.54%,2298,8.94%,601,2.34%,3843,14.95%,17.8
21201,Kentucky,Robertson,ARC,"Robertson County, Kentucky",1708,895,895,832,63,0,813,7.04%,47.60%,797,119,14.93%,30,3.76%,42,5.27%,62,7.78%,129,16.19%,119,14.93%,139,17.44%,120,15.06%,27,3.39%,10,1.25%,53798,321,40.28%,56,7.03%,10,1.25%,200,25.09%,14.9
21203,Kentucky,Rockcastle,ARC,"Rockcastle County, Kentucky",13159,6492,6492,6066,426,0,6667,6.56%,50.66%,6380,595,9.33%,513,8.04%,911,14.28%,571,8.95%,856,13.42%,1252,19.62%,753,11.80%,600,9.40%,132,2.07%,197,3.09%,45693,2599,40.74%,835,13.09%,239,3.75%,1359,21.30%,20.8
21205,Kentucky,Rowan,ARC,"Rowan County, Kentucky",20458,11470,11458,10932,526,12,8988,4.59%,43.93%,8952,846,9.45%,580,6.48%,913,10.20%,1132,12.65%,1001,11.18%,1843,20.59%,603,6.74%,1118,12.49%,452,5.05%,464,5.18%,50038,3068,34.27%,646,7.22%,257,2.87%,1876,20.96%,19.8
21207,Kentucky,Russell,ARC,"Russell County, Kentucky",14388,7893,7893,7414,479,0,6495,6.07%,45.14%,7007,536,7.65%,536,7.65%,845,12.06%,820,11.70%,874,12.47%,1126,16.07%,1103,15.74%,722,10.30%,248,3.54%,197,2.81%,48220,2871,40.97%,749,10.69%,77,1.10%,1243,17.74%,18.7
21231,Kentucky,Wayne,ARC,"Wayne County, Kentucky",16132,7275,7275,6899,376,0,8857,5.17%,54.90%,7897,595,7.53%,934,11.83%,994,12.59%,1009,12.78%,1015,12.85%,1336,16.92%,854,10.81%,756,9.57%,236,2.99%,168,2.13%,41583,3675,46.54%,1165,14.75%,175,2.22%,1311,16.60%,20.4
21235,Kentucky,Whitley,ARC,"Whitley County, Kentucky",28118,14178,14154,13246,908,24,13940,6.42%,49.58%,13076,1017,7.78%,1426,10.91%,1654,12.65%,1235,9.44%,1917,14.66%,2249,17.20%,1428,10.92%,1459,11.16%,337,2.58%,354,2.71%,44332,5315,40.65%,1630,12.47%,419,3.20%,2597,19.86%,18.3
21237,Kentucky,Wolfe,ARC,"Wolfe County, Kentucky",5284,1935,1915,1527,388,20,3349,20.26%,63.38%,2506,37,1.48%,629,25.10%,501,19.99%,310,12.37%,433,17.28%,389,15.52%,128,5.11%,60,2.39%,19,0.76%,0,0.00%,28666,1204,48.04%,897,35.79%,97,3.87%,846,33.76%,28.6
24001,Maryland,Allegany,ARC,"Allegany County, Maryland",57489,28517,28476,26552,1924,41,28972,6.76%,50.40%,27462,1948,7.09%,1732,6.31%,2675,9.74%,2807,10.22%,3582,13.04%,4844,17.64%,3622,13.19%,4040,14.71%,1418,5.16%,794,2.89%,55248,11266,41.02%,2105,7.67%,1216,4.43%,5817,21.18%,10.1
24023,Maryland,Garrett,ARC,"Garrett County, Maryland",24411,14221,14213,13555,658,8,10190,4.63%,41.74%,12448,493,3.96%,516,4.15%,971,7.80%,1214,9.75%,1612,12.95%,2290,18.40%,1643,13.20%,1932,15.52%,893,7.17%,884,7.10%,64447,4959,39.84%,552,4.43%,257,2.06%,1865,14.98%,8.6
24043,Maryland,Washington,ARC,"Washington County, Maryland",124977,74982,74680,70953,3727,302,49995,4.99%,40.00%,59051,2783,4.71%,2287,3.87%,4185,7.09%,4732,8.01%,6855,11.61%,9472,16.04%,7949,13.46%,10460,17.71%,5174,8.76%,5154,8.73%,73017,20014,33.89%,3313,5.61%,1959,3.32%,9413,15.94%,9.2
