FIPS,STATE,COUNTY,Geographic Area Name,Utility Name,Latitude,Longitude,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage of Less than 10,000 (Income)","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more (Income)",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income), Percentage of Below Poverty Level All People (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)","Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill,Year
21051,Kentucky,Clay,"Clay County, Kentucky",,,,10,58.32,10.48,12.05,12.52,13.4,13.57,14.23,12.28,8.55,1.86,1.05,44.06,19.62,2.12,32.81,27.8,5.61,3.52,8.71,6.32,5.72,12.16,13.38,15.13,14.58,11.44,3.42,Combined,4000,80,960,2022
21053,Kentucky,Clinton,"Clinton County, Kentucky",,,,5.59,47.52,7.65,9.5,10.05,13.53,20.97,13.32,11.74,9.75,1.82,1.66,42.78,13.81,3.35,22.63,16.3,2.36,2.24,8.75,3.03,4.23,14.17,22.29,15.52,11.93,10.7,4.79,Combined,4000,80,960,2022
21057,Kentucky,Cumberland,"Cumberland County, Kentucky",,,,3.79,48.7,12.58,11.87,7.9,8.38,19.97,17.47,5.76,13.58,1.79,0.71,38.15,11.27,1.03,21.95,23.4,7.39,5.5,7.75,0.94,1.99,9.32,19.91,19.7,6.71,17.92,2.88,Combined,4000,80,960,2022
21061,Kentucky,Edmonson,"Edmonson County, Kentucky",,,,6.82,50.19,4.98,7.44,8.7,13.17,13.84,17.06,14.92,15.27,3.3,1.32,43.15,6.32,0.55,12.21,11.7,1.34,2.73,6.74,6.74,2.47,11.16,11.26,18.81,16.72,16.99,5.03,Combined,4000,80,960,2022
21063,Kentucky,Elliott,"Elliott County, Kentucky",,,,6.03,67.44,9.19,10.78,12.77,12.06,15.38,16.04,9.81,12.59,0.88,0.49,47.55,12.37,1.5,25.01,20,3.29,0.75,5.99,9.05,6.05,14.52,17.46,20.06,5.94,15.1,1.79,Combined,4000,80,960,2022
21065,Kentucky,Estill,"Estill County, Kentucky",,,,8.72,53.87,10.35,10.78,10.47,14.83,10.4,17.93,12.42,8.12,2.86,1.85,40.4,13.55,5.17,29.56,19.7,6.75,1.13,7.55,3.68,2.26,16.04,11.98,18.64,16.21,9.39,6.37,Combined,4000,80,960,2022
21069,Kentucky,Fleming,"Fleming County, Kentucky",,,,8.43,44.52,7.34,6.11,12.86,11.41,14.29,17,14.69,11.05,2.58,2.68,38.84,9.88,1.74,19.56,16.8,0.82,3.53,4.74,8.18,3.25,10.17,14.07,17.18,18.6,12.85,6.61,Combined,4000,80,960,2022
21071,Kentucky,Floyd,"Floyd County, Kentucky",,,,6.77,57.92,10.94,9.96,13.65,12.22,10.25,15.39,12.06,11.16,3.03,1.33,48.54,13.93,1.97,24.8,25.6,4.33,3.69,6.73,5.96,7.19,12.5,10.9,15.66,12.92,14.33,5.78,Combined,4000,80,960,2022
21079,Kentucky,Garrard,"Garrard County, Kentucky",,,,5.29,45.1,4.32,4.25,10.54,9.03,16.2,16.77,10.25,17.05,7.48,4.12,38.15,7.35,1.16,13.32,13.8,1.56,1.37,3.53,3.98,5.3,8.35,13.85,16.83,11.45,20.01,13.78,Combined,4000,80,960,2022
21087,Kentucky,Green,"Green County, Kentucky",,,,9.48,50.1,6.5,8.46,15.91,14.78,12.37,13.84,13.07,9.98,2.61,2.48,45.92,13.98,3.07,18.66,16.6,3.63,2.66,5.65,7.73,5.8,14.17,11.6,15.73,14.84,12.09,6.11,Combined,4000,80,960,2022
21089,Kentucky,Greenup,"Greenup County, Kentucky",,,,6.17,49.91,6.96,5.55,9.18,9.51,11.53,20.84,11.31,12.58,7.41,5.13,42.99,6.53,1.66,11.8,11.8,3.24,1.18,3.25,3.55,4.96,8.61,10.94,21.79,11.8,15.06,15.61,Combined,4000,80,960,2022
21095,Kentucky,Harlan,"Harlan County, Kentucky",,,,10.8,60.37,9.54,10.15,17.16,13.01,13.25,16.67,9.31,7.1,1.91,1.9,49.36,13.06,8.41,27.76,27,4.12,2.78,6.64,6.78,7.62,11.36,15.6,20.24,11.62,7.72,5.53,Combined,4000,80,960,2022
21099,Kentucky,Hart,"Hart County, Kentucky",,,,3.53,45.85,7.79,8.85,13.68,10.15,13.24,15.47,15.65,9.14,2.56,3.46,38.24,9.04,1.67,18.06,17.8,4.81,2.88,5.73,4.05,8.71,10.7,13.38,15.06,15.17,11.38,8.12,Combined,4000,80,960,2022
21109,Kentucky,Jackson,"Jackson County, Kentucky",,,,5.98,56.04,6.25,13.17,13.99,11.02,11.66,23.79,7.59,8.4,3.34,0.8,44.78,14.71,1.77,25.26,17.8,2.94,1.72,10.21,3.14,11.24,11.41,11.09,25.06,7.71,10.26,5.23,Combined,4000,80,960,2022
21115,Kentucky,Johnson,"Johnson County, Kentucky",,,,5.35,55.43,10.04,7.77,14.18,8.51,13.97,14.86,10.99,13.78,4.15,1.76,44,11.75,2.05,23.37,16.6,4.52,1.91,5.23,4.52,6.36,8.12,14.82,18.17,11.47,16.51,8.37,Combined,4000,80,960,2022
21119,Kentucky,Knott,"Knott County, Kentucky",,,,10.63,59.97,9.56,9.74,13,15.44,14.31,15.05,10.16,8.34,3,1.4,47.67,15.69,2.84,28.89,23.7,3.59,2.72,5.33,6.89,6.24,15.95,14.34,14.74,13.13,11.37,5.7,Combined,4000,80,960,2022
21121,Kentucky,Knox,"Knox County, Kentucky",,,,8.87,57.35,12.6,12.79,17.87,7.63,11.78,14.02,8.84,9.16,2.49,2.81,40.81,20.76,2.79,30.18,31.4,3.95,4.82,8.65,8.26,7.71,9.12,13.77,15.54,10.37,10.12,7.67,Combined,4000,80,960,2022
21125,Kentucky,Laurel,"Laurel County, Kentucky",,,,3.63,46.13,8.64,6.41,9.47,8.92,13.85,16.53,14.65,13.76,5.07,2.69,38.86,7.81,1.64,17.13,17.5,3.27,1.22,4.57,3.84,3.64,8.15,14.58,18.35,15.91,17.03,9.44,Combined,4000,80,960,2022
21127,Kentucky,Lawrence,"Lawrence County, Kentucky",,,,5.19,61.94,9.75,6.33,14.02,13.9,12.08,18.25,9.74,9.75,4.61,1.57,47.63,13.91,3.46,25.24,24.6,3.9,2.4,4.14,4.28,6.89,13.11,13.84,19.25,13,10.88,8.32,Combined,4000,80,960,2022
21129,Kentucky,Lee,"Lee County, Kentucky",,,,8.08,58.44,10.13,14.87,15.09,15.97,15.81,13.2,6.64,6.14,1.29,0.87,45.58,16.27,2.46,31.48,24.1,3.38,1.96,13.02,5.45,6.98,19.51,15.69,14.33,7.85,8.83,3,Combined,4000,80,960,2022
21131,Kentucky,Leslie,"Leslie County, Kentucky",,,,9.99,56.21,8.49,11.87,12.11,16.39,12.36,18.82,6.46,12.82,0.27,0.41,53.11,10.44,4.46,25.5,31.9,1.25,4.77,10.22,2.8,8.82,18.39,13.93,18.7,6.67,13.68,0.78,Combined,4000,80,960,2022
21133,Kentucky,Letcher,"Letcher County, Kentucky",,,,7.75,56.44,9.48,11.5,14.01,11.94,12.74,17.12,10.91,8.73,1.81,1.75,47.96,13.88,1.69,28.82,25.1,3.39,4.17,8.36,5.79,5.04,12.2,11.2,20.25,13.77,11.28,4.54,Combined,4000,80,960,2022
21135,Kentucky,Lewis,"Lewis County, Kentucky",,,,7.35,57.38,9.04,8.43,17.43,13.87,11.88,16.96,10.24,8.37,2.46,1.32,46.1,10.81,1.72,22.83,22.5,3.35,2.55,7.13,9.73,5.24,14.38,11.75,19.6,11.91,9.57,4.79,Combined,4000,80,960,2022
21137,Kentucky,Lincoln,"Lincoln County, Kentucky",,,,6.55,44.94,5.88,8.55,10.7,10.79,14.72,20.26,10.19,12.45,4.21,2.23,39.54,11.04,1.48,16.45,13.3,1.62,2.68,6.41,6.03,3.2,10.02,15.4,20.18,11.74,14.93,7.79,Combined,4000,80,960,2022
21147,Kentucky,McCreary,"McCreary County, Kentucky",,,,5.61,61.89,12.32,15.21,10.27,12.2,12.47,17.71,9.35,6.81,3.27,0.4,43.07,18.86,2.34,32.09,28.3,6.25,3.03,10.24,6.79,5.26,9.46,12.85,19.05,12.21,9.72,5.16,Combined,4000,80,960,2022
21151,Kentucky,Madison,"Madison County, Kentucky",,,,5.43,36.68,6.14,4.98,8.81,9.08,13.09,16.66,12.61,16.91,7.02,4.7,32.01,6.3,1.51,12.4,10.9,1.43,1.32,1.95,2,3.31,6.05,10.36,16.52,14.98,24.46,17.61,Combined,4000,80,960,2022
21153,Kentucky,Magoffin,"Magoffin County, Kentucky",,,,12.83,63.2,11.64,11.88,15.99,15.48,11.86,14.23,8.7,5.82,2.17,2.24,49.93,18.05,1.45,32.63,25.9,2.92,5.87,8.76,7.27,10.13,16.71,11.45,15.95,8.97,6.37,5.61,Combined,4000,80,960,2022
21159,Kentucky,Martin,"Martin County, Kentucky",,,,6.39,65.33,11.77,12.41,7.35,12.35,11.42,18.77,4.85,15.47,2.4,3.22,47.82,16.64,2.61,22.84,20.1,5.63,2.19,7.66,4.05,3.37,14.33,11.16,21.18,5.97,17.34,7.12,Combined,4000,80,960,2022
21165,Kentucky,Menifee,"Menifee County, Kentucky",,,,4.66,57,11.27,10.34,10.83,9.15,13.13,12.6,15.03,13.7,3.63,0.31,44.87,13.35,2.43,20.25,22,1.97,5.67,9.73,5.49,4.6,8.84,14.93,15.34,15.4,14.03,4,Combined,4000,80,960,2022
21169,Kentucky,Metcalfe,"Metcalfe County, Kentucky",,,,4.8,44.36,5.34,10.55,10.65,14.01,12.64,19.5,10.05,12.38,3.51,1.37,40.96,9.57,3.1,16.47,19.7,3.09,1.67,5.53,5.44,5.65,14.79,13.93,16.89,12.23,14.52,6.27,Combined,4000,80,960,2022
21171,Kentucky,Monroe,"Monroe County, Kentucky",,,,5.35,42.26,8.49,9.62,9.99,11.8,12.35,16.79,10.52,12.79,5.26,2.4,45.75,7.86,2.24,17.83,17.5,2.76,4.06,7.1,3.97,3.88,11.51,11.48,15.17,12.9,17.28,9.89,Combined,4000,80,960,2022
21173,Kentucky,Montgomery,"Montgomery County, Kentucky",,,,5.98,44.66,6.85,6.46,10.75,7.71,15.24,17.72,14.27,16.09,3.38,1.53,35.15,7.69,1.41,19.27,12.6,2.04,1.94,3.92,4.21,3.7,7.01,14.69,19.13,15.65,20.85,6.87,Combined,4000,80,960,2022
21175,Kentucky,Morgan,"Morgan County, Kentucky",,,,3.11,61.15,7.5,9.43,12.97,9.3,14.73,16.81,11.17,9.17,6.41,2.51,45.34,10.85,1.61,20.24,17.5,2.37,2.7,6.16,6.41,6.41,9.66,15.28,17.68,11.1,11.16,11.07,Combined,4000,80,960,2022
21181,Kentucky,Nicholas,"Nicholas County, Kentucky",,,,5.63,47.84,7.19,4.55,9.07,15.03,10.37,16.6,18.13,11.94,4.67,2.45,39.71,10.25,2.6,12.32,13.6,3.43,2.57,1.34,4.28,2.52,14.73,13.28,13.93,18.05,15.91,9.96,Combined,4000,80,960,2022
21189,Kentucky,Owsley,"Owsley County, Kentucky",,,,14.15,62.81,11.21,13.81,13.67,13.81,12.36,9.62,16.05,6.58,2.89,0,52.86,26.17,2.39,29.86,19.1,3.54,4.11,8.11,7.09,2.06,12.46,12.34,12.69,22.63,10.4,4.57,Combined,4000,80,960,2022
21193,Kentucky,Perry,"Perry County, Kentucky",,,,7.53,51.17,7.75,10.25,9.68,15.91,9.71,16.24,12.59,10.91,4.08,2.88,39.6,14.71,0.76,25.04,19.8,2.35,2.26,8.11,4.59,4.58,14.53,9.16,18.23,15.36,13.05,7.77,Combined,4000,80,960,2022
21195,Kentucky,Pike,"Pike County, Kentucky",,,,7.28,56.53,10.56,8.88,14.85,10.29,13.22,15.6,11.33,10.05,2.89,2.33,48.07,12.33,1.84,19.57,19.5,3.37,3.33,6.84,6.14,7.42,10.68,15.15,16.36,12.37,12.19,6.15,Combined,4000,80,960,2022
21197,Kentucky,Powell,"Powell County, Kentucky",,,,7.08,48.86,8.97,13.14,13.72,11.85,8.33,8.18,17.13,14.94,2.25,1.48,40.06,12.32,1.07,20.44,16,2.9,3.91,3.59,6.08,4.54,13.46,7.72,10.47,20.52,21.31,5.49,Combined,4000,80,960,2022
21199,Kentucky,Pulaski,"Pulaski County, Kentucky",,,,4.88,45.38,8.1,8.74,10.03,12.29,12.19,15.29,12.52,12.11,5.04,3.68,40.54,8.94,2.34,14.95,17.8,5.14,1.46,5.23,3.57,4.47,12.02,11.62,16.06,14.52,14.37,11.55,Combined,4000,80,960,2022
21201,Kentucky,Robertson,"Robertson County, Kentucky",,,,7.04,47.6,14.93,3.76,5.27,7.78,16.19,14.93,17.44,15.06,3.39,1.25,40.28,7.03,1.25,25.09,14.9,1.02,3.72,4.23,3.05,3.05,9.98,20.47,12.86,20.47,14.89,6.26,Combined,4000,80,960,2022
21203,Kentucky,Rockcastle,"Rockcastle County, Kentucky",,,,6.56,50.66,9.33,8.04,14.28,8.95,13.42,19.62,11.8,9.4,2.07,3.09,40.74,13.09,3.75,21.3,20.8,4.43,2.06,6.33,5.61,9.32,8.76,14.8,22.43,9.44,10.04,6.78,Combined,4000,80,960,2022
21205,Kentucky,Rowan,"Rowan County, Kentucky",,,,4.59,43.93,9.45,6.48,10.2,12.65,11.18,20.59,6.74,12.49,5.05,5.18,34.27,7.22,2.87,20.96,19.8,1.91,1.22,4.13,3.89,3.51,14.58,11.25,18.41,10.18,15.45,15.47,Combined,4000,80,960,2022
21207,Kentucky,Russell,"Russell County, Kentucky",,,,6.07,45.14,7.65,7.65,12.06,11.7,12.47,16.07,15.74,10.3,3.54,2.81,40.97,10.69,1.1,17.74,18.7,2.93,2.32,6.71,5.45,3.78,8.5,13.01,18.05,18.88,11.91,8.46,Combined,4000,80,960,2022
21231,Kentucky,Wayne,"Wayne County, Kentucky",,,,5.17,54.9,7.53,11.83,12.59,12.78,12.85,16.92,10.81,9.57,2.99,2.13,46.54,14.75,2.22,16.6,20.4,3.32,2.59,10.17,7.15,5.26,13.61,10.55,18.11,10.72,11.99,6.55,Combined,4000,80,960,2022
21235,Kentucky,Whitley,"Whitley County, Kentucky",,,,6.42,49.58,7.78,10.91,12.65,9.44,14.66,17.2,10.92,11.16,2.58,2.71,40.65,12.47,3.2,19.86,18.3,2.78,1.84,10.58,6.21,5.92,9.2,11.31,17.4,12.65,15.14,6.99,Combined,4000,80,960,2022
21237,Kentucky,Wolfe,"Wolfe County, Kentucky",,,,20.26,63.38,1.48,25.1,19.99,12.37,17.28,15.52,5.11,2.39,0.76,0,48.04,35.79,3.87,33.76,28.6,0.7,0,13.22,9.42,9.25,14.1,23.23,19.08,6.73,3.16,1.11,Combined,4000,80,960,2022
24001,Maryland,Allegany,"Allegany County, Maryland",,,,6.76,50.4,7.09,6.31,9.74,10.22,13.04,17.64,13.19,14.71,5.16,2.89,41.02,7.67,4.43,21.18,10.1,2.1,1.37,2.55,2.94,3.63,9.12,12.08,20.14,16.51,19.07,10.49,Combined,4000,80,960,2022
24023,Maryland,Garrett,"Garrett County, Maryland",,,,4.63,41.74,3.96,4.15,7.8,9.75,12.95,18.4,13.2,15.52,7.17,7.1,39.84,4.43,2.06,14.98,8.6,1.74,1.02,1.83,2.64,2.87,8.59,13.35,17.49,15.29,17.83,17.35,Combined,4000,80,960,2022
24043,Maryland,Washington,"Washington County, Maryland",,,,4.99,40,4.71,3.87,7.09,8.01,11.61,16.04,13.46,17.71,8.76,8.73,33.89,5.61,3.32,15.94,9.2,1.86,1.19,1.02,1.99,2.21,5.82,9.44,15.62,14.46,22.44,23.95,Combined,4000,80,960,2022
28003,Mississippi,Alcorn,"Alcorn County, Mississippi",,,,6.37,44.85,7.23,8.5,13.37,10.21,13.07,18.98,9.97,11.02,5,2.65,39.72,11.36,1.54,19.59,12,3.48,1.44,4.22,5.47,5.33,9.69,11.95,20.58,13.13,14.81,9.88,Combined,4000,80,960,2022
28009,Mississippi,Benton,"Benton County, Mississippi",,,,4.44,45.96,8.55,6.12,17.3,10.73,17.3,17.3,9.36,9.14,1.17,3.01,44.1,8.81,2.79,16.88,15,4.88,3.6,6.4,9.52,5.64,8,15.33,20.09,10.56,10.8,5.16,Combined,4000,80,960,2022
28013,Mississippi,Calhoun,"Calhoun County, Mississippi",,,,4.24,44.25,4.54,8.65,15.1,11.82,15.42,19.85,11.03,10.69,1.76,1.13,40.21,10.99,3.26,12.99,16,2.39,1.39,5.7,6.18,8.07,10.91,13.95,20.95,13.2,13.85,3.41,Combined,4000,80,960,2022
28017,Mississippi,Chickasaw,"Chickasaw County, Mississippi",,,,3.12,47.55,9.89,11.82,13.39,10.15,17.26,13.15,10.24,10.06,3.15,0.89,43.46,6.89,0.93,16.05,25.2,2.9,6.19,7.58,9.59,3.09,8.89,14.86,16.27,13.62,12.24,4.77,Combined,4000,80,960,2022
28019,Mississippi,Choctaw,"Choctaw County, Mississippi",,,,7.32,48.33,4.47,8.52,17.07,11.64,13.17,16.28,11.66,13.17,1.56,2.46,47.82,9.31,1.25,15.18,17,1.56,1.93,7.73,8.1,6.58,11.44,14.64,15.42,13.74,15.75,3.12,Combined,4000,80,960,2022
28025,Mississippi,Clay,"Clay County, Mississippi",,,,8.85,47.64,11.01,8.74,11.87,15.5,13.77,15.29,12.83,7.14,2.18,1.68,34.11,3.57,0.96,18.6,19.3,6.12,2.2,6.08,5.7,3.79,15.99,13.36,15.51,16.43,9.89,4.92,Combined,4000,80,960,2022
28057,Mississippi,Itawamba,"Itawamba County, Mississippi",,,,2.8,42.07,3.65,6.13,9.63,11.23,14.82,15.34,16.57,17.61,2.97,2.05,37.18,5.63,0.85,7.17,5.5,2.7,0.68,6.2,1.9,5.99,12.23,14.16,16.16,14.71,20,5.27,Combined,4000,80,960,2022
28069,Mississippi,Kemper,"Kemper County, Mississippi",,,,14.07,49.32,11.77,6.01,15.37,6.75,21.06,16.29,8.94,6.08,4.74,2.99,46.04,6.9,0.06,16.1,18.8,3.77,2.24,6.05,3.03,13.51,7.05,22.25,18.69,10.11,4.1,9.2,Combined,4000,80,960,2022
28081,Mississippi,Lee,"Lee County, Mississippi",,,,5.56,37.14,4.91,5.29,9.78,9.04,11.72,15.29,15.28,16.89,5.74,6.05,32.88,5.21,1.64,9.49,10.7,1.97,0.61,2.64,3.73,3.87,6.81,10.66,15.97,17.28,20.19,16.27,Combined,4000,80,960,2022
28087,Mississippi,Lowndes,"Lowndes County, Mississippi",,,,6.24,42.25,8.8,6.97,11.96,9.26,10.14,15.5,12.63,14.53,5.73,4.48,33.43,4.33,1.09,13.27,16.1,3.03,2.21,4.97,4.64,4.5,6.96,10.68,15.62,14.68,18.89,13.84,Combined,4000,80,960,2022
28093,Mississippi,Marshall,"Marshall County, Mississippi",,,,4.81,46.16,5.82,6.81,9.29,9.39,17.75,18.63,7.94,15.03,4.46,4.86,39.52,11.36,2.43,10.02,16.5,2.85,1.38,5.06,3.53,4.87,9,15.09,17.79,9.55,19.12,11.77,Combined,4000,80,960,2022
28095,Mississippi,Monroe,"Monroe County, Mississippi",,,,5.49,47.19,7.08,5.77,12.92,10.02,12.95,17.02,11.99,13.7,5.21,3.33,38.46,6.17,2.99,12.36,13.3,3.58,1.55,4.75,5.14,4.61,9.36,13.53,18.24,13.56,15.17,10.52,Combined,4000,80,960,2022
28097,Mississippi,Montgomery,"Montgomery County, Mississippi",,,,7.81,51.28,11.04,9.32,12.56,14.28,17.78,11.41,8.54,7.42,3.66,3.99,49.5,11.12,2.14,16.29,20.9,9.48,0.67,9.29,2.9,4.82,6.07,19.44,15.09,10.78,10.54,10.93,Combined,4000,80,960,2022
28103,Mississippi,Noxubee,"Noxubee County, Mississippi",,,,9.31,46.54,12.5,8.66,10.44,11.28,15.45,21.81,7.39,9.39,2.73,0.35,43.34,14.48,3.92,27.71,21.3,5.15,4.02,6.45,5.29,2.86,12.11,17.47,22.07,9.68,11.49,3.41,Combined,4000,80,960,2022
28105,Mississippi,Oktibbeha,"Oktibbeha County, Mississippi",,,,6.8,43.67,16.46,6.22,12.77,8.32,12.44,10.95,10.8,10.83,6.57,4.64,22.81,4.95,2.55,9.94,13.9,3.49,0.93,4.4,2.31,2.74,4.33,12.08,13.96,15.48,17.31,22.99,Combined,4000,80,960,2022
28107,Mississippi,Panola,"Panola County, Mississippi",,,,9.5,49.2,6.33,9.47,11.51,12.38,11.06,15.37,13.88,10.78,6.15,3.08,46.18,9.3,2.79,13.36,18.4,2.69,1.6,5.52,5.51,4.97,8.34,10.75,18.97,15.5,13.83,12.32,Combined,4000,80,960,2022
28115,Mississippi,Pontotoc,"Pontotoc County, Mississippi",,,,2.94,40.82,6.16,3.94,9.7,11.74,15,16.4,13.7,15.75,5.77,1.86,34.08,5.98,1.07,10.46,14.7,3.02,0.72,4.48,4.95,2.48,9.4,13.76,16.83,16.18,19.09,9.09,Combined,4000,80,960,2022
28117,Mississippi,Prentiss,"Prentiss County, Mississippi",,,,5,45.09,8.26,7.56,10.74,8.06,14.68,16.36,13.54,13.5,3.89,3.4,38.06,9.26,2.36,10.75,11.8,2.27,2.48,6.07,4.31,6.38,7,14.92,17.51,14.72,15.78,8.55,Combined,4000,80,960,2022
28139,Mississippi,Tippah,"Tippah County, Mississippi",,,,5.97,42.74,4.42,7.29,14.52,10.67,16.66,15.23,14.46,11.63,2.56,2.56,40.58,7.48,0.85,11.21,15.2,0.94,2.23,5.07,5.05,9,10.29,12.55,16.96,15.68,15.38,6.85,Combined,4000,80,960,2022
28141,Mississippi,Tishomingo,"Tishomingo County, Mississippi",,,,3.54,48.98,9.29,7.33,15.64,7.55,12.38,18.48,12.7,9.32,3.95,3.36,39.36,12.82,0.89,10.84,14,5.41,3.5,4.11,9.09,3.66,7.78,13.42,17.51,15.1,11.81,8.6,Combined,4000,80,960,2022
28145,Mississippi,Union,"Union County, Mississippi",,,,4.07,41.26,3.98,3.49,11.92,10.03,14.57,19.6,14.2,12.66,5.08,4.46,38.76,8.52,2.6,7.03,9.4,1.6,1.52,3.72,7.46,3.53,8.27,12.9,18.53,15.98,14.99,11.49,Combined,4000,80,960,2022
28155,Mississippi,Webster,"Webster County, Mississippi",,,,6.38,43.71,6.37,6.17,9.13,9.72,13.68,19.24,14.78,13.06,5.71,2.14,41.18,7.5,2.88,20.07,13.4,0.79,1.2,4.2,2.4,4.55,7.39,15.76,20.12,18.26,16.11,9.22,Combined,4000,80,960,2022
28159,Mississippi,Winston,"Winston County, Mississippi",,,,6.91,50.12,6.44,7.75,15.12,11.54,11.81,20.08,9.9,11.32,2.48,3.56,45.32,9.44,1.54,19.63,26.5,0.92,1.08,3.85,6.73,7.61,11.52,10.73,21.11,13.07,15.07,8.3,Combined,4000,80,960,2022
28161,Mississippi,Yalobusha,"Yalobusha County, Mississippi",,,,5.04,47.78,6.89,7.11,14.32,13.79,10.5,19.57,12.24,9.48,5.17,0.94,46.75,8.62,1.27,10.44,17.8,2.42,1.94,7.37,8.97,2.87,12,10.49,18.5,14.06,12.62,8.77,Combined,4000,80,960,2022
36003,New York,Allegany,"Allegany County, New York",,,,7.31,45.83,6.81,4.51,8.79,9.32,12.78,19.26,14.45,15.29,5.39,3.4,43.14,8.12,4.07,14.92,13.1,2.79,1.65,2.7,3.25,3.8,8.98,12.24,20.27,16.26,17.77,10.28,Combined,4000,80,960,2022
36007,New York,Broome,"Broome County, New York",,,,6.94,43.18,6.9,5.36,10.26,8.61,12.07,17.6,11.6,15.37,6.14,6.1,36.6,6.27,3.46,15.45,13.5,2.5,1.41,1.81,2.8,3.69,6.74,10.98,18.66,13.79,20.35,17.27,Combined,4000,80,960,2022
36009,New York,Cattaraugus,"Cattaraugus County, New York",,,,5.4,43.34,5.49,6.67,9.51,10.02,13.76,17.64,13.32,15.12,4.8,3.67,40.69,7.98,3.03,16.33,13.4,2.83,1.53,3.87,3.51,3.45,8.7,12.46,18.79,15.32,18.59,10.93,Combined,4000,80,960,2022
36013,New York,Chautauqua,"Chautauqua County, New York",,,,5.42,44.32,6.31,5.97,11.24,9.72,12.96,17.75,12.43,14.86,5.22,3.53,39.38,7.26,4.26,19.53,13.4,2.18,1.61,2.96,3.33,4.4,7.72,12.16,18.3,15.72,19.35,12.27,Combined,4000,80,960,2022
36015,New York,Chemung,"Chemung County, New York",,,,6.33,42.55,5.83,5.23,7.66,9.3,11.89,18.83,14.04,16.88,5.77,4.58,39.21,5.63,4.13,16.94,11.5,1.77,1.05,1.99,2.87,3.34,6.16,12.08,19.04,15.97,21.5,14.24,Combined,4000,80,960,2022
36017,New York,Chenango,"Chenango County, New York",,,,7.1,40.69,3.37,4.92,9.44,9.58,12.91,19.81,13.61,16.75,5.87,3.74,41.64,8.22,4.14,15.44,8.8,2.14,0.7,2.81,3.59,3.56,7.56,11.67,19.89,15.83,20.03,12.2,Combined,4000,80,960,2022
36023,New York,Cortland,"Cortland County, New York",,,,5.36,37.15,3.71,5.15,7.89,8.43,12.69,20.58,13.09,16.48,7.56,4.42,32.92,6,2.46,13.81,6.9,1.36,0.31,2.44,2.86,2.5,6.67,10.33,20.72,14.66,20.98,17.18,Combined,4000,80,960,2022
36025,New York,Delaware,"Delaware County, New York",,,,6.11,46.51,5.56,5.32,9.9,8.76,13.1,18.5,13.64,14.25,6.1,4.87,46.69,7.35,3.01,12.33,11.5,2.74,1.76,2.84,4.15,3.24,8.16,13.06,18.32,15.12,16.87,13.73,Combined,4000,80,960,2022
36077,New York,Otsego,"Otsego County, New York",,,,4.96,43.95,4.56,4.46,9.08,7.43,11.64,19.47,14.56,17.05,6.09,5.67,41.52,4.15,1.91,9.89,8.5,1.53,1.57,1.94,3.5,3.85,6.71,10.45,18.39,17.38,19.66,15.02,Combined,4000,80,960,2022
36095,New York,Schoharie,"Schoharie County, New York",,,,5.29,42.08,3.4,5.33,7.42,7.24,12.13,17.69,15.66,17.69,6.74,6.69,43.34,6.2,3.32,11.58,6.1,2,1.24,2.34,2.68,3.2,6.83,10.8,17.07,17.46,20.04,16.34,Combined,4000,80,960,2022
36097,New York,Schuyler,"Schuyler County, New York",,,,5.67,41.5,4.47,4.53,10.42,8.64,13.34,14.91,15.12,16.72,7.44,4.42,41.06,6.8,3.13,16.88,11.6,1.55,1.45,2.01,3.51,4.91,9.1,11.44,16.46,15.78,19.13,14.66,Combined,4000,80,960,2022
36101,New York,Steuben,"Steuben County, New York",,,,6.31,40.69,5.44,3.75,8.58,9.62,13.49,16.98,13.49,16.25,7.21,5.19,37.47,6.1,2.96,11.78,9.5,1.48,1.52,2.08,2.61,3.6,7.78,12.12,17.58,15.83,19.4,16,Combined,4000,80,960,2022
36107,New York,Tioga,"Tioga County, New York",,,,5.59,39.41,3.67,4.15,7.33,8.51,12.51,16.82,14.8,17.77,7.6,6.85,37.89,5.47,2.99,11.71,6.4,1.19,0.93,2.37,2.09,2.84,6.83,11.05,17.86,16.05,20.83,17.95,Combined,4000,80,960,2022
